Num_features,Rep_s,Test_fold_no,stopping_percent,test_accu,test_roc,train_accu,train_roc
614,0,0,0.005,0.9710144927536232,1.0,1.0,0.9999999999999999
614,0,1,0.005,0.9710144927536232,0.9861111111111112,1.0,1.0
614,0,2,0.005,0.9710144927536232,0.9953703703703703,1.0,1.0
614,0,3,0.005,0.9855072463768116,0.9962962962962963,1.0,1.0
615,0,4,0.005,1.0,1.0,1.0,1.0
615,0,5,0.005,0.9558823529411765,0.9839015151515151,1.0,1.0
615,0,6,0.005,0.9411764705882353,0.9725378787878787,1.0,1.0
615,0,7,0.005,0.9558823529411765,0.9952651515151515,1.0,1.0
615,0,8,0.005,0.9705882352941176,0.9791666666666667,1.0,1.0
616,0,9,0.005,0.9552238805970149,0.9683794466403162,1.0,1.0
614,1,0,0.005,0.9420289855072463,0.9768518518518519,1.0,1.0
614,1,1,0.005,0.9420289855072463,0.9805555555555555,1.0,1.0
614,1,2,0.005,0.9710144927536232,0.9972222222222222,1.0,0.9999999999999999
614,1,3,0.005,0.9855072463768116,0.9962962962962963,1.0,1.0
615,1,4,0.005,0.9558823529411765,0.9753787878787878,1.0,1.0
615,1,5,0.005,0.9852941176470589,1.0,1.0,1.0
615,1,6,0.005,0.9558823529411765,0.9971590909090909,1.0,1.0
615,1,7,0.005,0.9558823529411765,0.9886363636363636,1.0,0.9999999999999999
615,1,8,0.005,0.9558823529411765,0.9943181818181819,1.0,1.0
616,1,9,0.005,0.9402985074626866,0.975296442687747,1.0,0.9999999999999999
614,2,0,0.005,0.9710144927536232,0.9787037037037036,1.0,1.0
614,2,1,0.005,0.9855072463768116,0.9981481481481481,1.0,1.0
614,2,2,0.005,0.9565217391304348,0.9916666666666667,1.0,0.9999999999999999
614,2,3,0.005,0.9855072463768116,0.9925925925925927,1.0,1.0
615,2,4,0.005,0.9117647058823529,0.9801136363636362,1.0,1.0
615,2,5,0.005,0.9852941176470589,0.9886363636363636,1.0,1.0
615,2,6,0.005,0.9705882352941176,0.9990530303030304,1.0,1.0
615,2,7,0.005,0.9852941176470589,0.9990530303030304,1.0,1.0
615,2,8,0.005,0.9411764705882353,0.96875,1.0,1.0
616,2,9,0.005,0.9850746268656716,0.9990118577075099,1.0,1.0
614,3,0,0.005,1.0,1.0,1.0,1.0
614,3,1,0.005,0.927536231884058,0.950925925925926,1.0,1.0
614,3,2,0.005,0.9855072463768116,0.9990740740740741,1.0,1.0
614,3,3,0.005,0.9420289855072463,0.9824074074074074,1.0,1.0
615,3,4,0.005,0.8970588235294118,0.9867424242424242,1.0,1.0
615,3,5,0.005,0.9411764705882353,0.9876893939393939,1.0,1.0
615,3,6,0.005,0.9852941176470589,0.9981060606060606,1.0,0.9999999999999999
615,3,7,0.005,1.0,1.0,1.0,1.0
615,3,8,0.005,0.9558823529411765,0.9943181818181819,1.0,1.0
616,3,9,0.005,0.9253731343283582,0.9822134387351779,1.0,1.0
614,4,0,0.005,0.9710144927536232,0.9916666666666667,1.0,1.0
614,4,1,0.005,0.9420289855072463,0.9935185185185186,1.0,1.0
614,4,2,0.005,0.9710144927536232,0.9907407407407407,1.0,1.0
614,4,3,0.005,0.9420289855072463,0.9944444444444445,1.0,1.0
615,4,4,0.005,0.9705882352941176,0.9943181818181819,1.0,0.9999999999999999
615,4,5,0.005,0.9705882352941176,0.9857954545454546,1.0,1.0
615,4,6,0.005,0.9411764705882353,0.9791666666666667,1.0,1.0
615,4,7,0.005,0.9411764705882353,0.9611742424242424,1.0,0.9999999999999999
615,4,8,0.005,0.9705882352941176,0.9981060606060607,1.0,1.0
616,4,9,0.005,0.9850746268656716,0.9980237154150198,1.0,0.9999999999999999
