Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc
0,0,388,0.005,1.0,1.0,0.7727272727272727,0.8636363636363635
0,1,388,0.005,1.0,1.0,0.8863636363636364,0.9669421487603306
0,2,388,0.005,1.0,1.0,0.8636363636363636,0.9318181818181819
0,3,388,0.005,1.0,1.0,0.8636363636363636,0.9648760330578512
0,4,388,0.005,1.0,1.0,0.8636363636363636,0.96900826446281
0,5,388,0.005,1.0,1.0,0.9318181818181818,0.9731404958677685
0,6,390,0.005,1.0,1.0,0.8333333333333334,0.9659863945578231
0,7,390,0.005,1.0,1.0,0.7619047619047619,0.8594104308390023
0,8,390,0.005,1.0,1.0,0.8333333333333334,0.9365079365079365
0,9,390,0.005,1.0,1.0,0.8095238095238095,0.9138321995464853
1,0,388,0.005,1.0,1.0,0.8181818181818182,0.921487603305785
1,1,388,0.005,1.0,1.0,0.8636363636363636,0.9710743801652892
1,2,388,0.005,1.0,1.0,0.8409090909090909,0.9338842975206612
1,3,388,0.005,1.0,1.0,0.8409090909090909,0.9235537190082643
1,4,388,0.005,1.0,1.0,0.8409090909090909,0.9380165289256198
1,5,388,0.005,1.0,1.0,0.7727272727272727,0.9359504132231404
1,6,390,0.005,1.0,1.0,0.9761904761904762,0.9863945578231292
1,7,390,0.005,1.0,1.0,0.7857142857142857,0.891156462585034
1,8,390,0.005,1.0,1.0,0.6904761904761905,0.8072562358276644
1,9,390,0.005,1.0,1.0,0.8571428571428571,0.9433106575963719
2,0,388,0.005,1.0,1.0,0.7954545454545454,0.9256198347107438
2,1,388,0.005,1.0,1.0,0.8409090909090909,0.9504132231404959
2,2,388,0.005,1.0,1.0,0.7954545454545454,0.9297520661157024
2,3,388,0.005,1.0,1.0,0.9318181818181818,0.9958677685950413
2,4,388,0.005,1.0,1.0,0.8863636363636364,1.0
2,5,388,0.005,1.0,1.0,0.8863636363636364,0.9669421487603306
2,6,390,0.005,1.0,1.0,0.9285714285714286,0.9773242630385488
2,7,390,0.005,1.0,1.0,0.8809523809523809,0.9387755102040816
2,8,390,0.005,1.0,1.0,0.8809523809523809,0.9569160997732427
2,9,390,0.005,1.0,1.0,0.7857142857142857,0.9002267573696145
3,0,388,0.005,1.0,1.0,0.75,0.8925619834710744
3,1,388,0.005,1.0,1.0,0.8863636363636364,0.96900826446281
3,2,388,0.005,1.0,1.0,0.8409090909090909,0.9504132231404958
3,3,388,0.005,1.0,1.0,0.9090909090909091,0.9669421487603306
3,4,388,0.005,1.0,1.0,0.9318181818181818,0.9855371900826446
3,5,388,0.005,1.0,1.0,0.8863636363636364,0.9834710743801652
3,6,390,0.005,1.0,1.0,0.8333333333333334,0.9591836734693878
3,7,390,0.005,1.0,1.0,0.8333333333333334,0.9478458049886622
3,8,390,0.005,1.0,1.0,0.9047619047619048,0.979591836734694
3,9,390,0.005,1.0,1.0,0.7857142857142857,0.891156462585034
4,0,388,0.005,1.0,1.0,0.7954545454545454,0.921487603305785
4,1,388,0.005,1.0,1.0,0.9318181818181818,0.9648760330578513
4,2,388,0.005,1.0,1.0,0.8181818181818182,0.9090909090909091
4,3,388,0.005,1.0,1.0,0.7954545454545454,0.9318181818181818
4,4,388,0.005,1.0,1.0,0.8409090909090909,0.9400826446280992
4,5,388,0.005,1.0,1.0,0.9090909090909091,0.9793388429752066
4,6,390,0.005,1.0,1.0,0.7857142857142857,0.8956916099773242
4,7,390,0.005,1.0,1.0,0.8571428571428571,0.9387755102040816
4,8,390,0.005,1.0,1.0,0.7857142857142857,0.9115646258503401
4,9,390,0.005,1.0,1.0,0.9047619047619048,0.9773242630385487
