Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc
0,0,175,0.005,1.0,1.0,0.9,0.9733333333333334
0,1,175,0.005,1.0,0.9999999999999999,0.95,0.92
0,2,175,0.005,1.0,1.0,1.0,1.0
0,3,175,0.005,1.0,1.0,0.8,0.92
0,4,175,0.005,1.0,1.0,1.0,1.0
0,5,175,0.005,1.0,1.0,0.95,1.0
0,6,175,0.005,1.0,1.0,0.9,1.0
0,7,176,0.005,1.0,1.0,1.0,1.0
0,8,177,0.005,1.0,1.0000000000000002,0.7777777777777778,0.9285714285714286
0,9,177,0.005,1.0,0.9999999999999999,0.9444444444444444,0.9642857142857143
1,0,175,0.005,1.0,1.0,0.8,0.92
1,1,175,0.005,1.0,1.0,0.85,0.9466666666666667
1,2,175,0.005,1.0,1.0,0.8,1.0
1,3,175,0.005,1.0,1.0,0.9,0.8800000000000001
1,4,175,0.005,1.0,1.0,0.95,0.9866666666666667
1,5,175,0.005,1.0,1.0,0.9,0.96
1,6,175,0.005,1.0,1.0,0.95,1.0
1,7,176,0.005,1.0,1.0,0.9473684210526315,1.0
1,8,177,0.005,1.0,1.0,0.9444444444444444,0.8928571428571428
1,9,177,0.005,1.0,1.0,0.9444444444444444,0.9821428571428572
2,0,175,0.005,1.0,1.0,0.85,0.9733333333333334
2,1,175,0.005,1.0,1.0,1.0,1.0
2,2,175,0.005,1.0,1.0,0.9,0.9600000000000001
2,3,175,0.005,1.0,1.0,0.85,0.9733333333333334
2,4,175,0.005,1.0,1.0,0.75,0.88
2,5,175,0.005,1.0,1.0,0.75,0.88
2,6,175,0.005,1.0,1.0,0.95,0.9866666666666667
2,7,176,0.005,1.0,1.0,0.9473684210526315,1.0
2,8,177,0.005,1.0,1.0,0.9444444444444444,1.0
2,9,177,0.005,1.0,1.0,0.9444444444444444,1.0
3,0,175,0.005,1.0,1.0,0.9,0.96
3,1,175,0.005,1.0,1.0,1.0,1.0
3,2,175,0.005,1.0,1.0,0.95,1.0
3,3,175,0.005,1.0,1.0,0.95,0.92
3,4,175,0.005,1.0,1.0,0.95,0.9733333333333334
3,5,175,0.005,1.0,1.0,0.95,1.0
3,6,175,0.005,1.0,1.0,0.9,1.0
3,7,176,0.005,1.0,1.0,0.8947368421052632,0.9857142857142858
3,8,177,0.005,1.0,1.0,0.8888888888888888,1.0
3,9,177,0.005,1.0,1.0,0.7222222222222222,0.8392857142857143
4,0,175,0.005,1.0,1.0,0.95,1.0
4,1,175,0.005,1.0,1.0,0.95,0.96
4,2,175,0.005,1.0,1.0,0.9,0.9733333333333334
4,3,175,0.005,1.0,1.0,0.95,1.0
4,4,175,0.005,1.0,1.0,0.95,0.9866666666666667
4,5,175,0.005,1.0,1.0,0.95,0.9866666666666667
4,6,175,0.005,1.0,1.0,0.9,0.9199999999999999
4,7,176,0.005,1.0,1.0,0.8421052631578947,0.8714285714285714
4,8,177,0.005,1.0,1.0,0.9444444444444444,1.0
4,9,177,0.005,1.0,1.0,0.9444444444444444,0.9642857142857143
