Num_features,Rep_s,Test_fold_no,stopping_percent,test_accu,test_roc,train_accu,train_roc
186,0,0,0.005,0.8181818181818182,0.9666666666666667,1.0,1.0
187,0,1,0.005,0.9047619047619048,0.9181818181818182,1.0,1.0
187,0,2,0.005,0.6190476190476191,0.7818181818181819,1.0,1.0
187,0,3,0.005,0.6666666666666666,0.7272727272727273,1.0,1.0
187,0,4,0.005,0.7619047619047619,0.8454545454545455,1.0,1.0
187,0,5,0.005,0.7619047619047619,0.8454545454545455,1.0,1.0
187,0,6,0.005,0.7142857142857143,0.8454545454545455,1.0,1.0
188,0,7,0.005,0.7,0.7171717171717172,1.0,1.0
188,0,8,0.005,0.8,0.8585858585858586,1.0,1.0
188,0,9,0.005,0.85,0.9090909090909091,1.0,1.0
186,1,0,0.005,0.7727272727272727,0.9166666666666666,1.0,1.0
187,1,1,0.005,0.7142857142857143,0.7818181818181819,1.0,1.0
187,1,2,0.005,0.9047619047619048,0.9909090909090909,1.0,1.0
187,1,3,0.005,0.8095238095238095,0.9363636363636363,1.0,1.0
187,1,4,0.005,0.8571428571428571,0.9636363636363636,1.0,1.0
187,1,5,0.005,0.8095238095238095,0.7818181818181819,1.0,1.0
187,1,6,0.005,0.6666666666666666,0.7000000000000001,1.0,1.0
188,1,7,0.005,0.8,0.9090909090909091,1.0,1.0
188,1,8,0.005,0.65,0.7171717171717171,1.0,1.0
188,1,9,0.005,0.9,0.8787878787878787,1.0,1.0
186,2,0,0.005,0.6363636363636364,0.7083333333333333,1.0,1.0
187,2,1,0.005,0.8095238095238095,0.8454545454545455,1.0,0.9999999999999999
187,2,2,0.005,0.8095238095238095,0.8999999999999999,1.0,1.0
187,2,3,0.005,0.8095238095238095,0.9090909090909092,1.0,1.0
187,2,4,0.005,0.8571428571428571,0.8181818181818182,1.0,1.0
187,2,5,0.005,0.8571428571428571,0.9636363636363636,1.0,1.0
187,2,6,0.005,0.8571428571428571,0.7818181818181817,1.0,1.0
188,2,7,0.005,0.8,0.8585858585858586,1.0,1.0
188,2,8,0.005,0.75,0.7676767676767677,1.0,1.0
188,2,9,0.005,0.6,0.7474747474747474,1.0,1.0
186,3,0,0.005,0.5909090909090909,0.6416666666666667,1.0,1.0
187,3,1,0.005,0.8095238095238095,0.8181818181818182,1.0,1.0
187,3,2,0.005,0.8571428571428571,0.8272727272727273,1.0,0.9999999999999999
187,3,3,0.005,0.8571428571428571,0.9363636363636364,1.0,1.0
187,3,4,0.005,0.6666666666666666,0.7,1.0,1.0
187,3,5,0.005,0.8571428571428571,0.8545454545454546,1.0,1.0
187,3,6,0.005,0.7142857142857143,0.8818181818181818,1.0,1.0
188,3,7,0.005,0.7,0.8181818181818181,1.0,1.0
188,3,8,0.005,0.85,0.9494949494949494,1.0,1.0
188,3,9,0.005,0.85,0.8181818181818181,1.0,1.0
186,4,0,0.005,0.7727272727272727,0.8333333333333334,1.0,1.0
187,4,1,0.005,0.7142857142857143,0.7000000000000001,1.0,1.0
187,4,2,0.005,0.8571428571428571,0.8818181818181818,1.0,1.0
187,4,3,0.005,0.7142857142857143,0.8272727272727273,1.0,1.0
187,4,4,0.005,0.8095238095238095,0.8909090909090909,1.0,1.0
187,4,5,0.005,0.9523809523809523,0.9272727272727272,1.0,1.0
187,4,6,0.005,0.8571428571428571,0.8454545454545453,1.0,1.0
188,4,7,0.005,0.85,0.9191919191919191,1.0,1.0
188,4,8,0.005,0.85,0.8787878787878788,1.0,1.0
188,4,9,0.005,0.7,0.898989898989899,1.0,1.0
