Num_features,Rep_s,Test_fold_no,stopping_percent,test_accu,test_roc,train_accu,train_roc
239,0,0,0.005,0.7857142857142857,0.7803030303030303,1.0,1.0
239,0,1,0.005,0.8928571428571429,0.9393939393939394,1.0,1.0
240,0,2,0.005,0.7037037037037037,0.753968253968254,1.0,1.0
240,0,3,0.005,0.7777777777777778,0.8571428571428571,1.0,1.0
240,0,4,0.005,0.8148148148148148,0.8968253968253969,1.0,1.0
241,0,5,0.005,0.6923076923076923,0.6095238095238096,1.0,1.0
241,0,6,0.005,0.8076923076923077,0.8857142857142856,1.0,1.0
241,0,7,0.005,0.8076923076923077,0.8952380952380952,1.0,1.0
241,0,8,0.005,0.8076923076923077,0.8857142857142858,1.0,1.0
241,0,9,0.005,0.9230769230769231,0.9523809523809524,1.0,1.0
239,1,0,0.005,0.7142857142857143,0.5833333333333333,1.0,1.0
239,1,1,0.005,0.8571428571428571,0.8863636363636364,1.0,1.0
240,1,2,0.005,0.8518518518518519,0.873015873015873,1.0,1.0
240,1,3,0.005,0.9259259259259259,0.9761904761904763,1.0,1.0
240,1,4,0.005,0.8518518518518519,0.8253968253968254,1.0,1.0
241,1,5,0.005,0.8846153846153846,0.8761904761904762,1.0,0.9999999999999999
241,1,6,0.005,0.9230769230769231,0.9047619047619048,1.0,1.0
241,1,7,0.005,0.8461538461538461,0.8571428571428572,1.0,1.0
241,1,8,0.005,0.7692307692307693,0.657142857142857,1.0,1.0
241,1,9,0.005,0.6923076923076923,0.7714285714285714,1.0,1.0
239,2,0,0.005,0.75,0.8030303030303031,1.0,1.0
239,2,1,0.005,0.8214285714285714,0.803030303030303,1.0,1.0
240,2,2,0.005,0.8148148148148148,0.8968253968253969,1.0,1.0
240,2,3,0.005,0.8148148148148148,0.7936507936507937,1.0,1.0
240,2,4,0.005,0.7777777777777778,0.8571428571428572,1.0,1.0
241,2,5,0.005,0.8846153846153846,0.9714285714285715,1.0,1.0
241,2,6,0.005,0.8461538461538461,0.819047619047619,1.0,1.0
241,2,7,0.005,0.7692307692307693,0.819047619047619,1.0,1.0
241,2,8,0.005,0.8076923076923077,0.9523809523809523,1.0,1.0
241,2,9,0.005,0.6923076923076923,0.6,1.0,1.0
239,3,0,0.005,0.8571428571428571,0.9696969696969697,1.0,1.0
239,3,1,0.005,0.7857142857142857,0.8484848484848485,1.0,1.0
240,3,2,0.005,0.7407407407407407,0.8095238095238095,1.0,1.0
240,3,3,0.005,0.8148148148148148,0.8412698412698413,1.0,1.0
240,3,4,0.005,0.8518518518518519,0.8571428571428572,1.0,1.0
241,3,5,0.005,0.8461538461538461,0.8952380952380953,1.0,1.0
241,3,6,0.005,0.8076923076923077,0.8095238095238095,1.0,1.0
241,3,7,0.005,0.7307692307692307,0.6190476190476191,1.0,1.0
241,3,8,0.005,0.5,0.6476190476190475,1.0,1.0
241,3,9,0.005,0.8076923076923077,0.8571428571428572,1.0,1.0
239,4,0,0.005,0.6785714285714286,0.7954545454545454,1.0,1.0
239,4,1,0.005,0.8214285714285714,0.6212121212121211,1.0,1.0
240,4,2,0.005,0.7777777777777778,0.8571428571428571,1.0,1.0
240,4,3,0.005,0.8888888888888888,0.9365079365079365,1.0,1.0
240,4,4,0.005,0.8888888888888888,0.9047619047619048,1.0,1.0
241,4,5,0.005,0.7692307692307693,0.8380952380952381,1.0,1.0
241,4,6,0.005,0.7692307692307693,0.838095238095238,1.0,1.0
241,4,7,0.005,0.8846153846153846,0.9142857142857143,1.0,1.0
241,4,8,0.005,0.8461538461538461,0.8952380952380953,1.0,1.0
241,4,9,0.005,0.8461538461538461,0.8571428571428571,1.0,1.0
