Num_features,Rep_s,Test_fold_no,stopping_percent,test_accu,test_roc,train_accu,train_roc
208,0,0,0.005,1.0,1.0,1.0,1.0
208,0,1,0.005,0.7916666666666666,0.8531468531468531,1.0,1.0
208,0,2,0.005,0.9166666666666666,0.9440559440559441,1.0,1.0
208,0,3,0.005,0.9166666666666666,0.9300699300699301,1.0,1.0
209,0,4,0.005,0.9565217391304348,0.9469696969696969,1.0,1.0
209,0,5,0.005,0.9565217391304348,0.9772727272727273,1.0,1.0
209,0,6,0.005,0.9565217391304348,0.9545454545454545,1.0,1.0
209,0,7,0.005,0.6956521739130435,0.7348484848484848,1.0,0.9999999999999999
210,0,8,0.005,0.9545454545454546,1.0,1.0,1.0
210,0,9,0.005,0.8181818181818182,0.7749999999999999,1.0,0.9999999999999999
208,1,0,0.005,0.9583333333333334,0.965034965034965,1.0,1.0
208,1,1,0.005,0.9166666666666666,1.0,1.0,1.0
208,1,2,0.005,0.9166666666666666,0.9720279720279721,1.0,1.0
208,1,3,0.005,0.875,0.8951048951048951,1.0,1.0
209,1,4,0.005,0.9565217391304348,0.9545454545454546,1.0,1.0
209,1,5,0.005,0.8260869565217391,0.8484848484848485,1.0,1.0
209,1,6,0.005,0.9130434782608695,0.8939393939393939,1.0,0.9999999999999999
209,1,7,0.005,1.0,1.0,1.0,0.9999999999999999
210,1,8,0.005,0.9090909090909091,0.9583333333333334,1.0,1.0
210,1,9,0.005,0.9545454545454546,0.9249999999999999,1.0,1.0
208,2,0,0.005,0.9583333333333334,0.951048951048951,1.0,1.0
208,2,1,0.005,0.7916666666666666,0.7622377622377622,1.0,1.0
208,2,2,0.005,0.9166666666666666,0.9720279720279721,1.0,1.0
208,2,3,0.005,1.0,1.0,1.0,1.0
209,2,4,0.005,0.9565217391304348,0.9696969696969696,1.0,1.0
209,2,5,0.005,0.9565217391304348,0.9318181818181818,1.0,1.0
209,2,6,0.005,1.0,1.0,1.0,1.0
209,2,7,0.005,0.7391304347826086,0.8636363636363636,1.0,1.0
210,2,8,0.005,0.9545454545454546,0.9500000000000001,1.0,1.0
210,2,9,0.005,1.0,1.0,1.0,1.0
208,3,0,0.005,0.8333333333333334,0.9720279720279721,1.0,1.0
208,3,1,0.005,0.9583333333333334,1.0,1.0,1.0
208,3,2,0.005,0.875,0.993006993006993,1.0,1.0
208,3,3,0.005,0.7916666666666666,0.7832167832167832,1.0,1.0
209,3,4,0.005,0.782608695652174,0.7651515151515151,1.0,1.0
209,3,5,0.005,0.9130434782608695,0.9242424242424242,1.0,1.0
209,3,6,0.005,1.0,1.0,1.0,1.0
209,3,7,0.005,1.0,1.0,1.0,1.0
210,3,8,0.005,0.9545454545454546,0.9916666666666667,1.0,1.0
210,3,9,0.005,0.9545454545454546,0.9333333333333333,1.0,1.0
208,4,0,0.005,0.875,1.0,1.0,1.0
208,4,1,0.005,0.875,0.9370629370629371,1.0,1.0
208,4,2,0.005,0.9583333333333334,0.993006993006993,1.0,1.0
208,4,3,0.005,0.875,0.8391608391608392,1.0,1.0
209,4,4,0.005,0.8695652173913043,0.8939393939393939,1.0,0.9999999999999999
209,4,5,0.005,0.9130434782608695,0.962121212121212,1.0,1.0
209,4,6,0.005,0.9130434782608695,0.9090909090909091,1.0,1.0
209,4,7,0.005,0.7391304347826086,0.7651515151515151,1.0,1.0
210,4,8,0.005,0.9090909090909091,1.0,1.0,1.0
210,4,9,0.005,0.9545454545454546,1.0,1.0,0.9999999999999999
