Num_features,Rep_s,Test_fold_no,stopping_percent,test_accu,test_roc,train_accu,train_roc
79,0,0,0.005,0.8,0.8400000000000001,0.9746835443037974,0.9980769230769231
79,0,1,0.005,0.9,1.0,0.9746835443037974,0.9974358974358974
79,0,2,0.005,1.0,1.0,0.9746835443037974,0.9955128205128205
79,0,3,0.005,0.9,0.88,0.9620253164556962,0.9955128205128205
80,0,4,0.005,0.8888888888888888,0.8500000000000001,0.975,0.9962500000000001
81,0,5,0.005,0.875,0.875,0.9876543209876543,0.998780487804878
81,0,6,0.005,0.875,0.75,0.9876543209876543,0.999390243902439
81,0,7,0.005,1.0,1.0,0.9629629629629629,0.9951219512195122
81,0,8,0.005,1.0,1.0,0.9629629629629629,0.9951219512195122
81,0,9,0.005,0.5,0.6875,0.9876543209876543,0.998780487804878
79,1,0,0.005,0.9,0.92,0.9746835443037974,0.9974358974358974
79,1,1,0.005,0.8,0.76,0.9873417721518988,0.9993589743589744
79,1,2,0.005,0.9,0.88,0.9746835443037974,0.9980769230769231
79,1,3,0.005,0.9,0.9600000000000001,0.9746835443037974,0.9974358974358974
80,1,4,0.005,0.8888888888888888,1.0,0.975,0.996875
81,1,5,0.005,0.875,1.0,0.9753086419753086,0.9975609756097561
81,1,6,0.005,0.875,1.0,0.9629629629629629,0.9957317073170732
81,1,7,0.005,0.75,0.75,0.9629629629629629,0.9951219512195122
81,1,8,0.005,0.875,1.0,0.9629629629629629,0.9957317073170733
81,1,9,0.005,1.0,1.0,0.9629629629629629,0.9963414634146341
79,2,0,0.005,0.8,0.9600000000000001,0.9746835443037974,0.9967948717948718
79,2,1,0.005,1.0,1.0,0.9746835443037974,0.9961538461538462
79,2,2,0.005,0.9,0.8,0.9873417721518988,0.9987179487179487
79,2,3,0.005,0.9,0.9600000000000001,0.9746835443037974,0.9974358974358974
80,2,4,0.005,0.7777777777777778,0.9,0.9625,0.995625
81,2,5,0.005,1.0,1.0,0.9629629629629629,0.9957317073170732
81,2,6,0.005,0.75,0.625,0.9876543209876543,0.9993902439024389
81,2,7,0.005,0.875,1.0,0.9753086419753086,0.9975609756097561
81,2,8,0.005,0.875,0.875,0.9753086419753086,0.9975609756097561
81,2,9,0.005,0.875,1.0,0.9629629629629629,0.9957317073170732
79,3,0,0.005,1.0,1.0,0.9746835443037974,0.9961538461538462
79,3,1,0.005,0.8,0.8,0.9746835443037974,0.9974358974358974
79,3,2,0.005,1.0,1.0,0.9746835443037974,0.9961538461538462
79,3,3,0.005,0.9,0.88,0.9873417721518988,0.9987179487179487
80,3,4,0.005,0.8888888888888888,0.9,0.975,0.995625
81,3,5,0.005,0.875,0.875,0.9753086419753086,0.9975609756097561
81,3,6,0.005,0.875,0.8125,0.9753086419753086,0.9975609756097561
81,3,7,0.005,0.875,0.9375,0.9876543209876543,0.998780487804878
81,3,8,0.005,0.875,1.0,0.9753086419753086,0.9969512195121951
81,3,9,0.005,0.875,0.9375,0.9753086419753086,0.9975609756097561
79,4,0,0.005,0.8,0.84,0.9873417721518988,0.9993589743589744
79,4,1,0.005,0.8,0.76,0.9746835443037974,0.9980769230769231
79,4,2,0.005,1.0,1.0,0.9746835443037974,0.9961538461538462
79,4,3,0.005,1.0,1.0,0.9746835443037974,0.9980769230769231
80,4,4,0.005,0.8888888888888888,0.9,0.975,0.9981249999999999
81,4,5,0.005,1.0,1.0,0.9753086419753086,0.996951219512195
81,4,6,0.005,0.875,1.0,0.9753086419753086,0.9951219512195122
81,4,7,0.005,0.875,1.0,0.9629629629629629,0.9957317073170732
81,4,8,0.005,1.0,1.0,0.9629629629629629,0.9957317073170732
81,4,9,0.005,0.625,0.75,0.9876543209876543,0.998780487804878
