Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,0.6,0.8533834586466166,0.923076923076923,0.8666666666666667,0.9285714285714286
0,2,0.6,0.8609022556390977,0.9286485871851725,0.8333333333333334,0.8571428571428571
0,3,0.1,0.8609022556390977,0.9176189663994542,0.7333333333333333,0.8883928571428572
0,4,0.1,0.8421052631578947,0.9138666211836944,0.9333333333333333,0.9285714285714286
0,5,7.1,0.8909774436090225,0.9541190516800273,0.8,0.90625
0,6,0.1,0.8571428571428571,0.9185286258456989,0.8,0.8705357142857143
0,7,2.6,0.8796992481203008,0.9400761839786229,0.7666666666666667,0.8526785714285714
0,8,0.1,0.8576779026217228,0.9138281073764946,0.7931034482758621,0.9278846153846154
0,9,0.1,0.850187265917603,0.9134333408526957,0.8620689655172413,0.9230769230769231
0,10,0.1,0.8582089552238806,0.9232190860215054,0.75,0.8461538461538463
1,1,0.1,0.8383458646616542,0.9079538347831031,0.9666666666666667,0.9642857142857143
1,2,0.1,0.8646616541353384,0.9202342373074079,0.6333333333333333,0.96875
1,3,3.6,0.8646616541353384,0.9372903519244982,0.9,0.9776785714285714
1,4,4.1,0.8721804511278195,0.9471828984024105,0.7333333333333333,0.84375
1,5,0.1,0.8533834586466166,0.9143214509068167,0.8666666666666667,0.9375
1,6,0.6,0.849624060150376,0.9227358007845813,0.8666666666666667,0.9285714285714286
1,7,0.6,0.8609022556390977,0.9259764625618283,0.8,0.8705357142857143
1,8,3.1,0.8726591760299626,0.9372885179336792,0.8275862068965517,0.9278846153846154
1,9,0.1,0.8614232209737828,0.9176065869614257,0.8275862068965517,0.8798076923076923
1,10,0.6,0.8731343283582089,0.9385640681003584,0.7142857142857143,0.8000000000000002
2,1,7.1,0.868421052631579,0.9511626584797317,0.8666666666666667,0.9017857142857143
2,2,0.6,0.8533834586466166,0.9208027744613111,0.9,0.9285714285714286
2,3,0.1,0.8533834586466166,0.9214281653306043,0.8333333333333334,0.8883928571428571
2,4,5.6,0.8759398496240601,0.9467280686792882,0.8666666666666667,0.9553571428571429
2,5,1.1,0.8796992481203008,0.9291602706236853,0.7666666666666667,0.9419642857142857
2,6,0.1,0.8646616541353384,0.919097162999602,0.7666666666666667,0.8526785714285714
2,7,5.6,0.8834586466165414,0.9526977087952697,0.7666666666666667,0.8839285714285714
2,8,0.1,0.8614232209737828,0.9194676291450485,0.8275862068965517,0.875
2,9,6.1,0.8764044943820225,0.9489059327769005,0.896551724137931,0.9663461538461539
2,10,0.6,0.8656716417910447,0.9283714157706093,0.8214285714285714,0.841025641025641
3,1,0.6,0.8609022556390977,0.9227926544999716,0.7666666666666667,0.9642857142857143
3,2,0.1,0.8571428571428571,0.9156290863607937,0.8,0.9017857142857143
3,3,1.6,0.8759398496240601,0.9346182273011541,0.8,0.8660714285714286
3,4,0.1,0.8533834586466166,0.9162544772300869,0.8666666666666667,0.9017857142857143
3,5,0.1,0.8533834586466166,0.916993575530161,0.8333333333333334,0.90625
3,6,4.6,0.868421052631579,0.941611234294161,0.9333333333333333,0.9553571428571428
3,7,0.1,0.8646616541353384,0.9203479447381886,0.7333333333333333,0.8705357142857143
3,8,0.1,0.8539325842696629,0.9229077374238664,0.7586206896551724,0.8125
3,9,8.1,0.8876404494382022,0.958662305436499,0.7931034482758621,0.9182692307692308
3,10,4.1,0.8694029850746269,0.943380376344086,0.7857142857142857,0.9128205128205129
4,1,6.6,0.8872180451127819,0.958212519188129,0.7333333333333333,0.7946428571428571
4,2,1.1,0.8646616541353384,0.9326283472624937,0.7666666666666667,0.8973214285714286
4,3,5.6,0.8872180451127819,0.9509920973335608,0.7666666666666667,0.8482142857142857
4,4,5.6,0.8796992481203008,0.9544033202569787,0.8333333333333334,0.8839285714285714
4,5,4.1,0.8646616541353384,0.9413838194325999,0.8,0.9598214285714286
4,6,0.1,0.849624060150376,0.9098868611063733,0.9333333333333333,0.9642857142857143
4,7,0.1,0.8646616541353384,0.9172778441071122,0.7,0.8839285714285714
4,8,0.1,0.850187265917603,0.9119106699751862,0.7931034482758621,0.9326923076923077
4,9,0.1,0.850187265917603,0.916704263478457,0.8275862068965517,0.9134615384615384
4,10,7.6,0.8843283582089553,0.9545250896057348,0.6785714285714286,0.882051282051282
