Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,9.1,0.9841269841269841,0.9979847542276351,0.9722222222222222,1.0
0,2,3.6,0.9746031746031746,0.9941295014457198,0.9166666666666666,0.9732441471571907
0,3,8.6,0.9873015873015873,0.9981161832997459,0.8611111111111112,0.9832775919732442
0,4,9.6,0.9841269841269841,0.9978095154648209,1.0,1.0
0,5,9.1,0.9841269841269841,0.9974590379391922,0.9722222222222222,0.9966555183946488
0,6,3.1,0.9746835443037974,0.9954662365403898,0.9142857142857143,0.9230769230769231
0,7,8.6,0.9810725552050473,0.997104831043125,0.9117647058823529,0.9924242424242424
0,8,7.6,0.9810725552050473,0.9971048310431251,1.0,1.0
0,9,8.6,0.9842271293375394,0.9982283294443004,0.8823529411764706,0.9734848484848484
0,10,8.6,0.9779179810725552,0.9975801572897762,0.9411764705882353,0.9924242424242424
1,1,9.1,0.9873015873015873,0.9985980898974853,0.9444444444444444,0.9665551839464883
1,2,8.6,0.9841269841269841,0.9977218960834137,1.0,1.0
1,3,7.1,0.9841269841269841,0.9980723736090422,0.8888888888888888,0.9832775919732442
1,4,9.6,0.9841269841269841,0.9979847542276352,0.9444444444444444,0.9966555183946488
1,5,9.1,0.9841269841269841,0.9981599929904496,0.9166666666666666,0.9665551839464882
1,6,9.6,0.9810126582278481,0.9976895243907755,0.9714285714285714,1.0
1,7,7.6,0.9810725552050473,0.9976665802437127,0.9705882352941176,0.9962121212121212
1,8,3.1,0.9684542586750788,0.9937775473165673,0.9705882352941176,0.9469696969696969
1,9,8.6,0.9842271293375394,0.9978394261515858,0.9705882352941176,1.0
1,10,9.6,0.9842271293375394,0.998012272059459,0.9117647058823529,0.9848484848484849
2,1,9.6,0.9841269841269841,0.9982476123718567,0.9722222222222222,1.0
2,2,9.1,0.9841269841269841,0.9981599929904496,0.9166666666666666,0.9765886287625418
2,3,9.6,0.9841269841269841,0.9982476123718567,0.9444444444444444,0.9732441471571907
2,4,9.6,0.9873015873015873,0.9986418995881889,0.9722222222222222,0.9698996655518395
2,5,9.1,0.9841269841269841,0.9972399894856742,0.8888888888888888,0.9565217391304347
2,6,9.1,0.9778481012658228,0.9972535855965823,0.9142857142857143,0.9825174825174825
2,7,9.6,0.9842271293375394,0.9977530031976494,0.9117647058823529,0.9886363636363636
2,8,9.6,0.9842271293375394,0.9983579638752053,0.9411764705882353,0.9924242424242424
2,9,8.6,0.9810725552050473,0.9975801572897761,1.0,1.0
2,10,9.1,0.9842271293375394,0.9984443868291418,0.9411764705882353,0.9848484848484849
3,1,9.1,0.9841269841269841,0.9975466573205992,0.9444444444444444,0.9933110367892977
3,2,9.1,0.9809523809523809,0.9978095154648209,0.9444444444444444,1.0
3,3,8.6,0.9809523809523809,0.9975466573205992,0.9444444444444444,0.9933110367892977
3,4,9.1,0.9841269841269841,0.9985980898974853,0.8333333333333334,0.9565217391304348
3,5,8.6,0.9841269841269841,0.9978533251555245,0.9722222222222222,0.9966555183946488
3,6,3.1,0.9683544303797469,0.9929813854134879,1.0,1.0
3,7,9.1,0.9842271293375394,0.9980554835364273,0.9705882352941176,0.9962121212121212
3,8,8.1,0.9810725552050473,0.9969319851352519,0.9705882352941176,1.0
3,9,7.6,0.9810725552050473,0.9978394261515859,0.9705882352941176,0.9848484848484848
3,10,9.6,0.9905362776025236,0.9989629245527611,0.8823529411764706,0.9053030303030303
4,1,6.6,0.9809523809523809,0.9967142731972313,0.9722222222222222,0.9732441471571907
4,2,9.6,0.9809523809523809,0.9973276088670815,1.0,1.0
4,3,2.1,0.9650793650793651,0.9934285463944624,0.8611111111111112,0.919732441471572
4,4,9.6,0.9873015873015873,0.9985980898974853,0.9166666666666666,1.0
4,5,7.6,0.9777777777777777,0.9968895119600455,0.9722222222222222,0.9966555183946488
4,6,9.6,0.9810126582278481,0.9980382754261302,0.9714285714285714,1.0
4,7,9.6,0.9842271293375394,0.9976665802437127,0.9705882352941176,1.0
4,8,9.1,0.9873817034700315,0.998919713075793,0.9411764705882353,0.9659090909090908
4,9,7.6,0.9810725552050473,0.9973640999049347,0.9411764705882353,0.9924242424242424
4,10,9.6,0.9842271293375394,0.998012272059459,0.9705882352941176,0.9962121212121212
