Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,9.6,1.0,1.0,0.8863636363636364,0.9731404958677685
0,2,9.6,1.0,1.0,1.0,1.0
0,3,9.6,1.0,1.0,0.9772727272727273,0.9979338842975207
0,4,9.6,1.0,1.0,1.0,1.0
0,5,9.6,1.0,1.0,0.9772727272727273,1.0
0,6,9.6,1.0,1.0,1.0,1.0
0,7,9.6,1.0,1.0,0.9761904761904762,1.0
0,8,9.6,1.0,1.0,1.0,1.0
0,9,9.6,1.0,1.0,0.9761904761904762,1.0
0,10,9.6,1.0,1.0,0.9761904761904762,1.0
1,1,9.6,1.0,1.0,0.9545454545454546,1.0
1,2,9.6,1.0,1.0,1.0,1.0
1,3,9.6,1.0,1.0,0.8181818181818182,0.9380165289256198
1,4,9.6,1.0,1.0,1.0,1.0
1,5,9.6,1.0,1.0,0.9545454545454546,1.0
1,6,9.6,1.0,1.0,0.9772727272727273,0.9958677685950413
1,7,9.6,1.0,1.0,1.0,1.0
1,8,9.6,1.0,1.0,1.0,1.0
1,9,9.6,1.0,1.0,0.8571428571428571,0.9727891156462585
1,10,9.6,1.0,1.0,1.0,1.0
2,1,9.6,1.0,1.0,0.9545454545454546,1.0
2,2,9.6,0.9948453608247423,0.9998405781698374,0.6818181818181818,0.8450413223140495
2,3,9.6,1.0,1.0,0.9090909090909091,0.9896694214876032
2,4,9.6,1.0,1.0,1.0,1.0
2,5,9.6,1.0,1.0,0.9318181818181818,0.9772727272727273
2,6,9.6,1.0,1.0,0.9772727272727273,1.0
2,7,9.6,1.0,1.0,1.0,1.0
2,8,9.6,1.0,1.0,1.0,1.0
2,9,9.6,1.0,1.0,1.0,1.0
2,10,9.6,1.0,1.0,0.9761904761904762,0.9954648526077098
3,1,9.6,1.0,1.0,0.9772727272727273,1.0
3,2,9.6,1.0,1.0,1.0,1.0
3,3,9.6,0.9948453608247423,0.9997608672547561,0.8181818181818182,0.9070247933884297
3,4,9.6,1.0,1.0,0.9090909090909091,0.9834710743801652
3,5,9.6,1.0,1.0,1.0,1.0
3,6,9.6,1.0,1.0,1.0,1.0
3,7,9.6,1.0,1.0,0.8809523809523809,0.9727891156462585
3,8,9.6,1.0,1.0,1.0,1.0
3,9,9.6,1.0,1.0,1.0,1.0
3,10,9.6,0.9974358974358974,0.9999474030243262,0.6666666666666666,0.8321995464852607
4,1,9.6,1.0,1.0,0.9772727272727273,1.0
4,2,9.6,1.0,1.0,0.9090909090909091,0.9648760330578512
4,3,9.6,1.0,1.0,1.0,1.0
4,4,9.6,1.0,1.0,0.8409090909090909,0.9710743801652892
4,5,9.6,1.0,1.0,0.9545454545454546,0.9979338842975207
4,6,9.6,1.0,1.0,1.0,1.0
4,7,9.6,1.0,1.0,1.0,1.0
4,8,9.6,1.0,1.0,1.0,1.0
4,9,9.6,1.0,1.0,0.9047619047619048,0.9501133786848073
4,10,9.6,1.0,1.0,1.0,1.0
