Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,7.6,0.9714285714285714,0.9934813248766737,0.9,0.9866666666666667
0,2,9.1,0.9828571428571429,0.9970049330514447,0.9,0.9066666666666666
0,3,9.6,0.9885714285714285,0.9973572938689217,0.9,1.0
0,4,8.6,0.9885714285714285,0.9978858350951375,0.85,0.9333333333333333
0,5,9.6,0.9828571428571429,0.9984143763213531,1.0,1.0
0,6,8.1,0.9885714285714285,0.9984143763213531,0.9,1.0
0,7,9.6,0.9885714285714285,0.9991190979563073,0.85,1.0
0,8,8.6,0.9829545454545454,0.997202308095821,0.8947368421052632,1.0
0,9,9.6,0.9830508474576272,0.9977785372522214,0.7777777777777778,0.8214285714285714
0,10,9.1,0.9887005649717514,0.9957279562542721,0.8888888888888888,0.875
1,1,9.6,0.9771428571428571,0.998062015503876,0.85,0.96
1,2,9.1,0.9885714285714285,0.9978858350951374,0.9,0.9466666666666667
1,3,9.6,0.9828571428571429,0.9987667371388301,0.9,1.0
1,4,8.1,0.9828571428571429,0.9971811134601832,0.8,0.88
1,5,9.6,0.9828571428571429,0.9982381959126145,0.95,0.9733333333333334
1,6,8.1,0.9828571428571429,0.9984143763213531,0.9,1.0
1,7,8.6,0.9885714285714285,0.9982381959126145,0.95,0.9866666666666667
1,8,9.1,0.9829545454545454,0.9965028851197761,0.8947368421052632,0.9571428571428571
1,9,9.1,0.9717514124293786,0.9947026657552973,0.9444444444444444,0.9464285714285714
1,10,8.1,0.9774011299435028,0.9960697197539303,0.8333333333333334,0.9642857142857143
2,1,9.6,0.9885714285714285,0.9971811134601832,0.8,1.0
2,2,9.1,0.9657142857142857,0.9948907681465821,0.95,0.9866666666666667
2,3,9.6,0.9828571428571429,0.9975334742776603,0.85,0.9066666666666666
2,4,9.1,0.9828571428571429,0.9982381959126145,0.85,0.9733333333333334
2,5,9.1,0.9828571428571429,0.9977096546863988,0.85,0.9333333333333333
2,6,9.1,0.9771428571428571,0.9959478505990134,0.95,1.0
2,7,9.6,0.9828571428571429,0.9982381959126145,0.95,1.0
2,8,8.1,0.9772727272727273,0.9958034621437314,0.8947368421052632,0.9857142857142858
2,9,9.1,0.9830508474576272,0.9974367737525632,0.8888888888888888,0.9642857142857143
2,10,9.6,0.9887005649717514,0.998632946001367,1.0,1.0
3,1,9.6,0.9771428571428571,0.9970049330514447,0.9,0.9066666666666666
3,2,8.1,0.9771428571428571,0.9948907681465822,0.95,0.9733333333333334
3,3,9.6,0.9828571428571429,0.9977096546863988,0.95,1.0
3,4,9.1,0.9771428571428571,0.9954193093727978,0.9,0.9733333333333334
3,5,9.1,0.9771428571428571,0.9970049330514447,0.85,0.9333333333333333
3,6,9.6,0.9828571428571429,0.9987667371388301,1.0,1.0
3,7,9.6,0.9885714285714285,0.9985905567300917,0.9,0.9866666666666667
3,8,8.6,0.9829545454545454,0.9966777408637874,0.8947368421052632,0.9714285714285714
3,9,8.6,0.9830508474576272,0.9982911825017088,0.8888888888888888,1.0
3,10,9.6,0.9830508474576272,0.9972658920027341,0.8333333333333334,0.9107142857142857
4,1,8.6,0.9828571428571429,0.9964763918252291,0.95,1.0
4,2,9.1,0.9828571428571429,0.9971811134601832,0.95,1.0
4,3,9.1,0.9771428571428571,0.9968287526427062,0.9,0.9733333333333334
4,4,9.6,0.9828571428571429,0.9985905567300917,0.9,1.0
4,5,9.1,0.9828571428571429,0.9973572938689218,0.9,0.9733333333333334
4,6,9.1,0.9828571428571429,0.9963002114164905,0.85,0.9733333333333334
4,7,9.6,0.9771428571428571,0.9968287526427061,0.9,0.9333333333333333
4,8,9.6,0.9943181818181818,0.9989508655359328,0.7894736842105263,0.9
4,9,9.6,0.9830508474576272,0.9982911825017089,0.9444444444444444,1.0
4,10,8.6,0.9774011299435028,0.9955570745044429,0.9444444444444444,0.8928571428571428
