Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,8.1,0.9139784946236559,0.9506559851387438,0.8181818181818182,0.925
0,2,9.1,0.9037433155080213,0.9509195402298851,0.6666666666666666,0.8818181818181818
0,3,9.6,0.9144385026737968,0.9545977011494252,0.8095238095238095,0.8272727272727273
0,4,8.6,0.8983957219251337,0.9436781609195403,0.8095238095238095,0.9
0,5,9.6,0.9090909090909091,0.9583908045977011,0.7619047619047619,0.8272727272727273
0,6,9.6,0.8877005347593583,0.9470114942528736,0.9047619047619048,0.9727272727272727
0,7,9.1,0.9144385026737968,0.9554022988505747,0.8095238095238095,0.890909090909091
0,8,9.1,0.898936170212766,0.9575,0.7,0.7474747474747474
0,9,9.6,0.9148936170212766,0.9532954545454545,0.75,0.898989898989899
0,10,9.6,0.9148936170212766,0.9519318181818182,0.8,0.9191919191919191
1,1,9.6,0.9139784946236559,0.9559967491001974,0.7727272727272727,0.8500000000000001
1,2,9.1,0.8983957219251337,0.9545977011494253,0.7142857142857143,0.8545454545454545
1,3,9.1,0.9090909090909091,0.9441379310344828,0.9047619047619048,0.9727272727272728
1,4,9.1,0.8983957219251337,0.951264367816092,0.9047619047619048,0.9090909090909091
1,5,9.1,0.9037433155080213,0.950344827586207,0.8571428571428571,0.9181818181818182
1,6,9.6,0.9197860962566845,0.9594252873563218,0.6666666666666666,0.8272727272727273
1,7,9.6,0.93048128342246,0.9632183908045977,0.8571428571428571,0.8727272727272727
1,8,8.6,0.8936170212765957,0.9532954545454545,0.8,0.8080808080808081
1,9,9.6,0.9042553191489362,0.9476136363636364,0.75,0.8585858585858586
1,10,9.6,0.9095744680851063,0.9489772727272727,0.85,0.8686868686868686
2,1,9.6,0.9193548387096774,0.9575060954371298,0.7727272727272727,0.8916666666666666
2,2,9.1,0.8983957219251337,0.9493103448275861,0.9047619047619048,0.9909090909090909
2,3,9.6,0.9037433155080213,0.9512643678160919,0.7142857142857143,0.8999999999999999
2,4,7.6,0.9197860962566845,0.9504597701149425,0.7619047619047619,0.8454545454545453
2,5,9.1,0.893048128342246,0.9457471264367816,0.9047619047619048,0.9636363636363636
2,6,9.6,0.9251336898395722,0.9535632183908046,0.8571428571428571,0.9454545454545454
2,7,9.6,0.8983957219251337,0.9503448275862068,0.7142857142857143,0.8181818181818182
2,8,8.1,0.898936170212766,0.95375,0.7,0.8383838383838383
2,9,9.1,0.898936170212766,0.9465909090909091,0.85,0.9696969696969696
2,10,9.6,0.9095744680851063,0.9652272727272728,0.65,0.7676767676767676
3,1,8.6,0.9139784946236559,0.9650528271217927,0.5454545454545454,0.7083333333333334
3,2,9.6,0.9144385026737968,0.9586206896551724,0.8095238095238095,0.9090909090909091
3,3,9.6,0.9144385026737968,0.9575862068965517,0.8571428571428571,0.9
3,4,9.6,0.9037433155080213,0.9485057471264368,0.7619047619047619,0.9454545454545453
3,5,9.6,0.9197860962566845,0.9532183908045977,0.6666666666666666,0.7272727272727273
3,6,9.6,0.9090909090909091,0.9477011494252874,0.9047619047619048,0.9545454545454546
3,7,8.6,0.9037433155080213,0.949080459770115,0.7619047619047619,0.8636363636363636
3,8,9.1,0.9042553191489362,0.9526136363636364,0.75,0.8787878787878788
3,9,9.6,0.8882978723404256,0.9453409090909091,0.95,0.9696969696969697
3,10,8.6,0.9042553191489362,0.949659090909091,0.8,0.8686868686868686
4,1,9.6,0.9032258064516129,0.9456635318704284,0.7727272727272727,0.9
4,2,8.6,0.9090909090909091,0.9582758620689655,0.7142857142857143,0.7818181818181817
4,3,9.6,0.9090909090909091,0.9539080459770115,0.9047619047619048,0.9545454545454545
4,4,9.6,0.893048128342246,0.9452873563218391,0.8571428571428571,1.0
4,5,9.1,0.9197860962566845,0.9563218390804598,0.8095238095238095,0.8636363636363636
4,6,9.6,0.93048128342246,0.9552873563218391,0.7619047619047619,0.8818181818181818
4,7,9.1,0.9037433155080213,0.9566666666666667,0.7619047619047619,0.8545454545454545
4,8,9.6,0.9095744680851063,0.9510227272727273,0.95,1.0
4,9,9.1,0.898936170212766,0.9561363636363637,0.75,0.7878787878787878
4,10,9.6,0.9308510638297872,0.9587499999999999,0.8,0.9191919191919191
