Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,2.1,0.7591240875912408,0.7729304180418042,0.71875,0.7028985507246377
0,2,1.6,0.7454545454545455,0.7643089651430897,0.7096774193548387,0.6739130434782609
0,3,3.1,0.7345454545454545,0.7751254577512546,0.7419354838709677,0.6576086956521738
0,4,5.6,0.7345454545454545,0.7726841177268412,0.7419354838709677,0.7826086956521738
0,5,4.1,0.7818181818181819,0.7754306252543063,0.6774193548387096,0.6358695652173912
0,6,6.6,0.7355072463768116,0.7756933666239287,0.7333333333333333,0.7897727272727273
0,7,7.1,0.7391304347826086,0.7921587151629665,0.5666666666666667,0.6534090909090909
0,8,5.6,0.782608695652174,0.7897968823807274,0.6,0.6420454545454546
0,9,4.6,0.7391304347826086,0.7816991699844794,0.7,0.6988636363636364
0,10,9.6,0.7355072463768116,0.7803495512517714,0.7333333333333333,0.8011363636363636
1,1,8.1,0.7372262773722628,0.7920448294829483,0.71875,0.7246376811594204
1,2,9.6,0.7345454545454545,0.7890614403906144,0.7419354838709677,0.7364130434782609
1,3,8.6,0.7345454545454545,0.7889936253899363,0.7419354838709677,0.6331521739130435
1,4,3.1,0.7454545454545455,0.766275600162756,0.8064516129032258,0.8179347826086957
1,5,5.6,0.7345454545454545,0.7683100501831006,0.7419354838709677,0.8152173913043479
1,6,3.1,0.7427536231884058,0.7690464943653418,0.6333333333333333,0.7329545454545455
1,7,6.1,0.7391304347826086,0.7965787165125852,0.6666666666666666,0.6193181818181819
1,8,4.1,0.7355072463768116,0.7900330656589514,0.7333333333333333,0.5738636363636364
1,9,2.6,0.7463768115942029,0.7713745866792632,0.6,0.6931818181818181
1,10,2.1,0.7355072463768116,0.7558877117214389,0.7333333333333333,0.8295454545454546
2,1,8.1,0.7372262773722628,0.7867505500550055,0.71875,0.7198067632850242
2,2,5.1,0.7345454545454545,0.7836362403363624,0.7419354838709677,0.6956521739130435
2,3,2.6,0.7345454545454545,0.7737691577376915,0.7419354838709677,0.7010869565217391
2,4,8.6,0.7345454545454545,0.7941814729418146,0.7419354838709677,0.5706521739130435
2,5,6.1,0.7345454545454545,0.7769564627695648,0.7419354838709677,0.8097826086956522
2,6,2.6,0.7355072463768116,0.7676293946959983,0.7333333333333333,0.75
2,7,6.6,0.7355072463768116,0.7895606991025036,0.7333333333333333,0.6647727272727273
2,8,2.6,0.75,0.7639179431810514,0.7,0.75
2,9,6.6,0.7608695652173914,0.7800121465685944,0.7,0.7215909090909091
2,10,6.1,0.7355072463768116,0.7875025305351238,0.7333333333333333,0.7414772727272727
3,1,9.1,0.7372262773722628,0.7973391089108911,0.71875,0.681159420289855
3,2,2.1,0.7345454545454545,0.7585446900854469,0.7419354838709677,0.842391304347826
3,3,7.6,0.7890909090909091,0.7904516479045166,0.6774193548387096,0.595108695652174
3,4,3.1,0.7563636363636363,0.7827207378272073,0.7419354838709677,0.5815217391304348
3,5,2.1,0.7854545454545454,0.7672250101722502,0.7419354838709677,0.7065217391304348
3,6,9.1,0.7355072463768116,0.7807544368715839,0.7333333333333333,0.8238636363636364
3,7,9.1,0.7898550724637681,0.800661313179027,0.5333333333333333,0.5397727272727273
3,8,1.6,0.7644927536231884,0.7702948916930967,0.7333333333333333,0.6477272727272727
3,9,9.1,0.75,0.7778190161279438,0.8,0.875
3,10,8.6,0.7355072463768116,0.7821377960726095,0.7333333333333333,0.7784090909090909
4,1,4.1,0.7372262773722628,0.7720709570957095,0.71875,0.7777777777777778
4,2,7.6,0.7345454545454545,0.8003865455038655,0.7419354838709677,0.6086956521739131
4,3,1.1,0.7345454545454545,0.7797029702970297,0.7419354838709677,0.5108695652173914
4,4,1.1,0.7636363636363637,0.7626135901261359,0.6451612903225806,0.7119565217391304
4,5,5.1,0.7563636363636363,0.7709548352095482,0.8064516129032258,0.8369565217391304
4,6,3.6,0.7355072463768116,0.7650313786355355,0.7333333333333333,0.8522727272727273
4,7,0.6,0.7536231884057971,0.7487347324380863,0.7,0.6477272727272728
4,8,3.6,0.7536231884057971,0.7816991699844793,0.7,0.6477272727272727
4,9,4.6,0.7608695652173914,0.7705310749713208,0.6666666666666666,0.7443181818181819
4,10,4.6,0.7355072463768116,0.7784600850259802,0.7333333333333333,0.6534090909090908
