Rep_s,Test_fold_no,C,train_accu,train_roc,test_accu,test_roc
0,1,5.6,0.9367088607594937,0.941025641025641,0.9,1.0
0,2,8.6,0.9367088607594937,0.9474358974358975,0.9,0.9600000000000001
0,3,9.6,0.9367088607594937,0.9467948717948718,1.0,1.0
0,4,8.6,0.9493670886075949,0.9538461538461539,0.9,0.88
0,5,1.6,0.925,0.943125,0.7777777777777778,0.9
0,6,4.1,0.9259259259259259,0.9518292682926829,0.875,0.9375
0,7,1.1,0.9382716049382716,0.9530487804878048,0.75,0.75
0,8,7.1,0.9382716049382716,0.9432926829268293,1.0,1.0
0,9,9.6,0.9382716049382716,0.951219512195122,1.0,1.0
0,10,1.1,0.9382716049382716,0.9609756097560975,0.875,0.8125
1,1,7.1,0.9367088607594937,0.948076923076923,1.0,1.0
1,2,1.6,0.9493670886075949,0.9538461538461538,0.7,0.7200000000000002
1,3,9.6,0.9367088607594937,0.9576923076923077,0.9,0.9600000000000001
1,4,9.6,0.9493670886075949,0.9583333333333334,0.9,0.9600000000000001
1,5,1.6,0.9125,0.93375,1.0,1.0
1,6,3.1,0.9259259259259259,0.9384146341463414,0.875,0.9375
1,7,8.1,0.9382716049382716,0.9493902439024391,1.0,1.0
1,8,9.1,0.9506172839506173,0.9573170731707317,0.75,0.8125
1,9,7.6,0.9382716049382716,0.9451219512195123,1.0,1.0
1,10,7.6,0.9382716049382716,0.9420731707317074,1.0,1.0
2,1,8.6,0.9367088607594937,0.942948717948718,0.9,1.0
2,2,7.1,0.9240506329113924,0.9397435897435897,1.0,1.0
2,3,2.1,0.9367088607594937,0.9557692307692308,0.8,0.8
2,4,8.1,0.9367088607594937,0.951923076923077,1.0,1.0
2,5,8.6,0.95,0.95125,0.8888888888888888,0.95
2,6,1.6,0.9135802469135802,0.9396341463414635,1.0,1.0
2,7,9.6,0.9629629629629629,0.973170731707317,0.75,0.6875
2,8,9.1,0.9382716049382716,0.950609756097561,0.875,1.0
2,9,1.1,0.9259259259259259,0.9426829268292682,0.875,0.875
2,10,2.1,0.9259259259259259,0.9396341463414635,1.0,1.0
3,1,1.1,0.9240506329113924,0.9352564102564103,0.9,1.0
3,2,9.6,0.9620253164556962,0.9583333333333333,0.8,0.92
3,3,9.1,0.9367088607594937,0.9442307692307692,1.0,1.0
3,4,8.1,0.9493670886075949,0.9653846153846154,0.9,0.8
3,5,7.6,0.9375,0.945625,1.0,1.0
3,6,0.6,0.9382716049382716,0.9518292682926829,0.875,0.875
3,7,9.1,0.9506172839506173,0.9609756097560975,0.875,0.875
3,8,1.1,0.9259259259259259,0.9457317073170732,0.875,0.8125
3,9,6.6,0.9259259259259259,0.9426829268292684,1.0,1.0
3,10,1.1,0.9259259259259259,0.9310975609756098,0.875,1.0
4,1,9.6,0.9493670886075949,0.9666666666666668,0.8,0.8
4,2,8.6,0.9620253164556962,0.9634615384615384,0.8,0.92
4,3,7.6,0.9367088607594937,0.9423076923076923,1.0,1.0
4,4,8.6,0.9367088607594937,0.9506410256410257,0.9,1.0
4,5,1.6,0.925,0.949375,0.8888888888888888,1.0
4,6,1.1,0.9259259259259259,0.9329268292682927,0.875,0.9375
4,7,6.1,0.9382716049382716,0.9475609756097562,0.75,1.0
4,8,9.1,0.9382716049382716,0.9463414634146342,1.0,1.0
4,9,9.6,0.9382716049382716,0.9439024390243903,1.0,1.0
4,10,0.6,0.9382716049382716,0.9628048780487806,0.875,0.875
