Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,56,0.005,1.0,1.0,0.9565217391304348,0.9962962962962963,1.0
0,1,52,0.005,1.0,1.0,0.9710144927536232,0.9851851851851852,0.9935185185185185
0,2,57,0.005,1.0,1.0,0.9710144927536232,0.9990740740740741,1.0
0,3,57,0.005,1.0,1.0,0.9710144927536232,0.9972222222222222,0.9990740740740741
0,4,63,0.005,1.0,1.0,0.9705882352941176,1.0,1.0
0,5,56,0.005,1.0,1.0,0.9705882352941176,0.9886363636363635,0.9905303030303031
0,6,37,0.005,1.0,1.0,0.9705882352941176,0.9943181818181819,0.9962121212121212
0,7,53,0.005,1.0,1.0,0.9411764705882353,0.9971590909090908,1.0
0,8,40,0.005,1.0,1.0,0.9264705882352942,0.9772727272727273,0.9933712121212122
0,9,56,0.005,1.0,1.0,0.9552238805970149,0.9980237154150198,1.0
1,0,56,0.005,1.0,1.0,0.9710144927536232,0.9990740740740741,0.9990740740740741
1,1,52,0.005,1.0,1.0,0.9565217391304348,0.974074074074074,0.9953703703703703
1,2,51,0.005,1.0,1.0,0.9565217391304348,0.9805555555555556,0.9944444444444445
1,3,55,0.005,1.0,1.0,0.9710144927536232,0.9972222222222222,0.9990740740740741
1,4,37,0.005,1.0,1.0,0.9558823529411765,0.9933712121212122,0.9962121212121212
1,5,62,0.005,1.0,1.0,0.9705882352941176,1.0,1.0
1,6,50,0.005,1.0,1.0,0.9852941176470589,0.9990530303030304,1.0
1,7,54,0.005,1.0,1.0,0.9411764705882353,0.990530303030303,0.9933712121212122
1,8,56,0.005,1.0,1.0,0.9705882352941176,0.9981060606060607,1.0
1,9,54,0.005,1.0,1.0,0.9701492537313433,0.9970355731225297,0.9990118577075099
2,0,56,0.005,1.0,1.0,0.9855072463768116,1.0,1.0
2,1,58,0.005,1.0,1.0,0.9710144927536232,0.9990740740740741,1.0
2,2,57,0.005,1.0,1.0,0.9565217391304348,0.9972222222222222,1.0
2,3,59,0.005,1.0,1.0,0.9565217391304348,0.9870370370370369,1.0
2,4,55,0.005,1.0,1.0,0.9705882352941176,0.9990530303030304,0.9990530303030304
2,5,54,0.005,1.0,1.0,0.9705882352941176,0.9962121212121212,1.0
2,6,54,0.005,1.0,1.0,0.9852941176470589,0.9810606060606061,0.9933712121212122
2,7,60,0.005,1.0,1.0,0.9705882352941176,0.9990530303030304,0.9990530303030304
2,8,32,0.005,1.0,1.0,0.9117647058823529,0.9772727272727273,0.9848484848484849
2,9,53,0.005,1.0,1.0,0.9701492537313433,0.9990118577075099,1.0
3,0,58,0.005,1.0,1.0,1.0,1.0,1.0
3,1,52,0.005,1.0,1.0,0.9420289855072463,0.9814814814814815,0.9833333333333334
3,2,54,0.005,1.0,1.0,1.0,1.0,1.0
3,3,57,0.005,1.0,1.0,0.9565217391304348,0.9981481481481482,1.0
3,4,46,0.005,1.0,0.9999999999999999,0.8823529411764706,0.9668560606060606,0.9962121212121212
3,5,35,0.005,1.0,1.0,0.9264705882352942,0.9895833333333333,0.9914772727272727
3,6,57,0.005,1.0,1.0,1.0,1.0,1.0
3,7,57,0.005,1.0,1.0,0.9852941176470589,1.0,1.0
3,8,52,0.005,1.0,1.0,0.9558823529411765,0.9971590909090909,0.9990530303030304
3,9,57,0.005,1.0,1.0,0.9104477611940298,0.9782608695652174,1.0
4,0,53,0.005,1.0,1.0,0.9565217391304348,0.9972222222222222,0.9972222222222222
4,1,56,0.005,1.0,1.0,0.9420289855072463,0.9935185185185186,0.9981481481481481
4,2,51,0.005,1.0,1.0,0.9855072463768116,1.0,1.0
4,3,58,0.005,1.0,1.0,0.9855072463768116,0.9990740740740741,1.0
4,4,59,0.005,1.0,1.0,0.9705882352941176,0.9943181818181818,0.9981060606060607
4,5,58,0.005,1.0,1.0,0.9852941176470589,0.9990530303030304,1.0
4,6,39,0.005,1.0,1.0,0.9705882352941176,0.993371212121212,0.9962121212121211
4,7,38,0.005,1.0,0.9999999999999999,0.8970588235294118,0.9715909090909091,0.9839015151515151
4,8,52,0.005,1.0,1.0,0.9558823529411765,0.9962121212121212,0.9990530303030304
4,9,53,0.005,1.0,1.0,0.9402985074626866,0.9851778656126482,1.0
