Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,84,0.005,1.0,1.0,0.8666666666666667,0.9330357142857142,0.9508928571428572
0,1,77,0.005,1.0,1.0,0.8666666666666667,0.8437499999999999,0.8839285714285714
0,2,78,0.005,1.0,1.0,0.7666666666666667,0.8794642857142857,0.9285714285714286
0,3,81,0.005,1.0,1.0,0.8666666666666667,0.8883928571428572,0.9375
0,4,76,0.005,1.0,1.0,0.7666666666666667,0.7857142857142858,0.9642857142857143
0,5,76,0.005,1.0,1.0,0.7666666666666667,0.7991071428571428,0.9375
0,6,79,0.005,1.0,1.0,0.7333333333333333,0.8214285714285714,0.875
0,7,74,0.005,1.0,1.0,0.8620689655172413,0.875,0.9278846153846154
0,8,83,0.005,1.0,1.0,0.8275862068965517,0.9182692307692308,0.9759615384615384
0,9,80,0.005,1.0,1.0,0.8214285714285714,0.8615384615384616,0.8923076923076924
1,0,85,0.005,1.0,1.0,0.9,0.9866071428571428,0.9866071428571428
1,1,75,0.005,1.0,1.0,0.7333333333333333,0.8035714285714286,0.9642857142857143
1,2,83,0.005,1.0,1.0,0.9,0.9419642857142857,0.9910714285714286
1,3,79,0.005,1.0,1.0,0.8,0.7946428571428572,0.9017857142857143
1,4,82,0.005,1.0,1.0,0.8333333333333334,0.8571428571428572,0.9419642857142857
1,5,86,0.005,1.0,1.0,0.8,0.9107142857142857,0.9419642857142858
1,6,77,0.005,1.0,1.0,0.6666666666666666,0.8125,0.8839285714285714
1,7,78,0.005,1.0,1.0,0.896551724137931,0.9471153846153846,0.9711538461538461
1,8,88,0.005,1.0,1.0,0.896551724137931,0.9567307692307692,0.9711538461538461
1,9,66,0.005,1.0,1.0,0.75,0.7743589743589744,0.8205128205128206
2,0,75,0.005,1.0,1.0,0.8,0.8705357142857143,0.9285714285714286
2,1,80,0.005,1.0,1.0,0.8333333333333334,0.9464285714285714,0.9642857142857143
2,2,77,0.005,1.0,1.0,0.8,0.7991071428571429,0.8883928571428571
2,3,78,0.005,1.0,1.0,0.8333333333333334,0.9107142857142858,0.96875
2,4,79,0.005,1.0,1.0,0.7,0.7723214285714286,0.9419642857142857
2,5,83,0.005,1.0,1.0,0.8,0.8303571428571429,0.9017857142857143
2,6,71,0.005,1.0,1.0,0.7,0.8035714285714286,0.9151785714285714
2,7,80,0.005,1.0,1.0,0.896551724137931,0.889423076923077,0.9086538461538461
2,8,80,0.005,1.0,1.0,0.9310344827586207,0.9855769230769231,0.9903846153846154
2,9,78,0.005,1.0,1.0,0.7857142857142857,0.7846153846153846,0.8923076923076922
3,0,77,0.005,1.0,1.0,0.7666666666666667,0.8080357142857144,0.9866071428571428
3,1,76,0.005,1.0,1.0,0.8,0.8794642857142857,0.9151785714285714
3,2,83,0.005,1.0,1.0,0.7666666666666667,0.9107142857142858,0.9375
3,3,82,0.005,1.0,1.0,0.9,0.9508928571428572,0.9553571428571429
3,4,82,0.005,1.0,1.0,0.8666666666666667,0.9107142857142858,0.9464285714285714
3,5,7,0.005,0.8533834586466166,0.9223378247768492,0.9,0.9553571428571428,0.9732142857142857
3,6,79,0.005,1.0,1.0,0.7666666666666667,0.763392857142857,0.8839285714285714
3,7,75,0.005,1.0,1.0,0.6551724137931034,0.7403846153846154,0.8509615384615385
3,8,73,0.005,1.0,1.0,0.7931034482758621,0.8894230769230769,0.9278846153846154
3,9,78,0.005,1.0,1.0,0.8571428571428571,0.9435897435897437,0.9589743589743591
4,0,72,0.005,1.0,1.0,0.7666666666666667,0.7723214285714286,0.8883928571428572
4,1,76,0.005,1.0,1.0,0.8,0.9151785714285714,0.9151785714285714
4,2,78,0.005,1.0,1.0,0.7,0.7008928571428572,0.8794642857142857
4,3,78,0.005,1.0,1.0,0.7333333333333333,0.7946428571428571,0.9017857142857143
4,4,82,0.005,1.0,1.0,0.8,0.9241071428571429,0.9776785714285714
4,5,84,0.005,1.0,1.0,0.8666666666666667,0.9241071428571429,0.9910714285714286
4,6,82,0.005,1.0,1.0,0.8333333333333334,0.9285714285714286,0.9464285714285714
4,7,80,0.005,1.0,1.0,0.8275862068965517,0.8317307692307692,0.9471153846153846
4,8,77,0.005,1.0,1.0,0.8620689655172413,0.9567307692307693,0.9567307692307693
4,9,81,0.005,1.0,1.0,0.7857142857142857,0.8512820512820513,0.9333333333333333
