Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,48,0.005,1.0,1.0,1.0,1.0,1.0
0,1,47,0.005,1.0,1.0,1.0,1.0,1.0
0,2,48,0.005,1.0,1.0,1.0,1.0,1.0
0,3,44,0.005,1.0,1.0,1.0,1.0,1.0
0,4,45,0.005,1.0,1.0,1.0,1.0,1.0
0,5,43,0.005,1.0,1.0,1.0,1.0,1.0
0,6,47,0.005,1.0,1.0,1.0,1.0,1.0
0,7,50,0.005,1.0,1.0,1.0,1.0,1.0
0,8,47,0.005,1.0,1.0,1.0,1.0,1.0
0,9,51,0.005,1.0,1.0,1.0,1.0,1.0
1,0,46,0.005,1.0,1.0,1.0,1.0,1.0
1,1,42,0.005,1.0,1.0,1.0,1.0,1.0
1,2,47,0.005,1.0,1.0,1.0,1.0,1.0
1,3,45,0.005,1.0,1.0,1.0,1.0,1.0
1,4,46,0.005,1.0,1.0,1.0,1.0,1.0
1,5,52,0.005,1.0,1.0,1.0,1.0,1.0
1,6,43,0.005,1.0,1.0,1.0,1.0,1.0
1,7,48,0.005,1.0,1.0,1.0,1.0,1.0
1,8,46,0.005,1.0,1.0,1.0,1.0,1.0
1,9,49,0.005,1.0,1.0,0.9761904761904762,1.0,1.0
2,0,49,0.005,1.0,1.0,1.0,1.0,1.0
2,1,48,0.005,1.0,1.0,1.0,1.0,1.0
2,2,48,0.005,1.0,1.0,1.0,1.0,1.0
2,3,46,0.005,1.0,1.0,1.0,1.0,1.0
2,4,50,0.005,1.0,1.0,1.0,1.0,1.0
2,5,47,0.005,1.0,1.0,1.0,1.0,1.0
2,6,47,0.005,1.0,1.0,1.0,1.0,1.0
2,7,48,0.005,1.0,1.0,1.0,1.0,1.0
2,8,44,0.005,1.0,1.0,1.0,1.0,1.0
2,9,48,0.005,1.0,1.0,1.0,1.0,1.0
3,0,45,0.005,1.0,1.0,1.0,1.0,1.0
3,1,47,0.005,1.0,1.0,1.0,1.0,1.0
3,2,49,0.005,1.0,1.0,1.0,1.0,1.0
3,3,48,0.005,1.0,1.0,1.0,1.0,1.0
3,4,42,0.005,1.0,1.0,1.0,1.0,1.0
3,5,51,0.005,1.0,1.0,1.0,1.0,1.0
3,6,48,0.005,1.0,1.0,1.0,1.0,1.0
3,7,47,0.005,1.0,1.0,1.0,1.0,1.0
3,8,49,0.005,1.0,1.0,1.0,1.0,1.0
3,9,49,0.005,1.0,1.0,1.0,1.0,1.0
4,0,51,0.005,1.0,1.0,1.0,1.0,1.0
4,1,46,0.005,1.0,1.0,1.0,1.0,1.0
4,2,49,0.005,1.0,1.0,1.0,1.0,1.0
4,3,48,0.005,1.0,1.0,1.0,1.0,1.0
4,4,48,0.005,1.0,1.0,1.0,1.0,1.0
4,5,52,0.005,1.0,1.0,1.0,1.0,1.0
4,6,47,0.005,1.0,1.0,1.0,1.0,1.0
4,7,50,0.005,1.0,1.0,1.0,1.0,1.0
4,8,45,0.005,1.0,1.0,1.0,1.0,1.0
4,9,48,0.005,1.0,1.0,1.0,1.0,1.0
