Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,88,0.005,1.0,1.0,0.95,0.9333333333333333,1.0
0,1,64,0.005,1.0,1.0,0.9,0.92,0.9333333333333333
0,2,71,0.005,1.0,1.0,1.0,1.0,1.0
0,3,64,0.005,1.0,1.0,0.85,0.96,0.9733333333333334
0,4,79,0.005,1.0,0.9999999999999999,0.95,1.0,1.0
0,5,67,0.005,1.0,1.0,0.95,0.9866666666666667,1.0
0,6,72,0.005,1.0,1.0,0.95,1.0,1.0
0,7,81,0.005,1.0,1.0,1.0,1.0,1.0
0,8,67,0.005,1.0,1.0,0.7777777777777778,0.875,0.9285714285714286
0,9,92,0.005,1.0,1.0,0.9444444444444444,0.9821428571428572,0.9821428571428572
1,0,67,0.005,1.0,1.0,0.9,1.0,1.0
1,1,63,0.005,1.0,1.0,0.9,0.9733333333333334,0.9866666666666667
1,2,81,0.005,1.0,1.0,0.85,1.0,1.0
1,3,72,0.005,1.0,1.0,0.95,0.9066666666666667,0.9466666666666668
1,4,69,0.005,1.0,1.0,0.95,0.9866666666666667,1.0
1,5,73,0.005,1.0,1.0,0.9,0.9466666666666667,1.0
1,6,74,0.005,1.0,1.0,1.0,1.0,1.0
1,7,84,0.005,1.0,1.0,0.9473684210526315,0.9857142857142858,1.0
1,8,92,0.005,1.0,1.0,0.9444444444444444,0.9642857142857143,1.0
1,9,72,0.005,1.0,1.0,0.9444444444444444,1.0,1.0
2,0,72,0.005,1.0,1.0,0.9,0.9866666666666667,1.0
2,1,99,0.005,1.0,1.0,1.0,1.0,1.0
2,2,71,0.005,1.0,1.0,0.95,0.92,0.9600000000000001
2,3,66,0.005,1.0,1.0,0.9,0.9733333333333334,0.9866666666666667
2,4,85,0.005,1.0,1.0,0.9,0.9600000000000001,0.9600000000000001
2,5,56,0.005,1.0,1.0,0.85,0.8400000000000001,1.0
2,6,79,0.005,1.0,1.0,0.95,1.0,1.0
2,7,68,0.005,1.0,0.9999999999999999,0.8421052631578947,0.9428571428571428,1.0
2,8,74,0.005,1.0,1.0,0.9444444444444444,1.0,1.0
2,9,70,0.005,1.0,1.0,1.0,1.0,1.0
3,0,77,0.005,1.0,1.0,0.9,0.8933333333333334,0.9600000000000001
3,1,61,0.005,1.0,1.0,1.0,1.0,1.0
3,2,69,0.005,1.0,1.0,0.9,0.9333333333333333,1.0
3,3,93,0.005,1.0,1.0,0.9,0.8933333333333334,1.0
3,4,81,0.005,1.0,1.0,0.9,0.8933333333333333,0.9866666666666667
3,5,77,0.005,1.0,1.0,0.95,1.0,1.0
3,6,72,0.005,1.0,1.0,0.9,0.9866666666666667,1.0
3,7,64,0.005,1.0,1.0,0.8947368421052632,0.9714285714285715,0.9857142857142858
3,8,70,0.005,1.0,1.0,0.8888888888888888,1.0,1.0
3,9,87,0.005,1.0,1.0,0.8333333333333334,0.9107142857142857,0.9642857142857143
4,0,85,0.005,1.0,1.0,0.95,1.0,1.0
4,1,69,0.005,1.0,1.0,1.0,1.0,1.0
4,2,69,0.005,1.0,1.0,0.9,0.9866666666666667,1.0
4,3,63,0.005,1.0,1.0,0.9,0.9866666666666667,1.0
4,4,82,0.005,1.0,1.0,0.95,0.9066666666666667,1.0
4,5,72,0.005,1.0,1.0,0.95,0.9866666666666667,1.0
4,6,93,0.005,1.0,1.0,0.8,0.8933333333333333,0.9733333333333334
4,7,53,0.005,1.0,1.0,0.8947368421052632,0.9428571428571428,0.9428571428571428
4,8,80,0.005,1.0,1.0,0.9444444444444444,1.0,1.0
4,9,99,0.005,1.0,1.0,0.9444444444444444,0.9821428571428572,0.9821428571428572
