Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,51,0.005,1.0,1.0,0.7727272727272727,0.7833333333333333,0.9833333333333333
0,1,51,0.005,1.0,1.0,0.8571428571428571,0.9454545454545454,0.9454545454545454
0,2,54,0.005,1.0,1.0,0.8095238095238095,0.8363636363636364,0.9090909090909091
0,3,54,0.005,1.0,1.0,0.9047619047619048,0.9727272727272727,0.9727272727272728
0,4,51,0.005,1.0,1.0,0.7142857142857143,0.8090909090909091,0.8545454545454546
0,5,57,0.005,1.0,1.0,0.9523809523809523,0.9909090909090909,1.0
0,6,53,0.005,1.0,1.0,0.8571428571428571,0.9,0.9181818181818182
0,7,51,0.005,1.0,1.0,0.9,0.8989898989898989,0.8989898989898989
0,8,54,0.005,1.0,1.0,0.8,0.9090909090909091,0.9292929292929293
0,9,52,0.005,1.0,1.0,0.85,0.9393939393939393,0.9797979797979798
1,0,51,0.005,1.0,1.0,0.8636363636363636,0.9416666666666667,0.95
1,1,55,0.005,1.0,1.0,0.8571428571428571,0.8909090909090909,0.9272727272727272
1,2,55,0.005,1.0,1.0,0.9523809523809523,0.9909090909090909,1.0
1,3,55,0.005,1.0,1.0,0.9047619047619048,0.9454545454545455,0.9545454545454545
1,4,53,0.005,1.0,1.0,0.9047619047619048,0.9454545454545454,0.9545454545454546
1,5,51,0.005,1.0,1.0,0.8571428571428571,0.8909090909090909,0.9181818181818182
1,6,49,0.005,1.0,1.0,0.8095238095238095,0.8909090909090909,0.9090909090909091
1,7,55,0.005,1.0,1.0,0.7,0.8585858585858586,0.9191919191919191
1,8,55,0.005,1.0,1.0,0.8,0.8383838383838383,0.9191919191919191
1,9,53,0.005,1.0,1.0,0.9,0.9191919191919191,0.9191919191919191
2,0,49,0.005,1.0,1.0,0.7727272727272727,0.8333333333333334,0.8583333333333334
2,1,55,0.005,1.0,1.0,0.9047619047619048,0.9545454545454546,1.0
2,2,54,0.005,1.0,1.0,0.9523809523809523,0.9545454545454545,0.9545454545454546
2,3,54,0.005,1.0,1.0,0.8571428571428571,0.9090909090909092,0.9636363636363636
2,4,55,0.005,1.0,1.0,0.7619047619047619,0.9363636363636363,1.0
2,5,55,0.005,1.0,1.0,0.8571428571428571,0.9636363636363636,0.9636363636363636
2,6,54,0.005,1.0,1.0,0.9047619047619048,0.9272727272727272,0.9727272727272728
2,7,48,0.005,1.0,1.0,0.8,0.8787878787878788,0.8888888888888888
2,8,53,0.005,1.0,1.0,0.8,0.9090909090909091,1.0
2,9,47,0.005,1.0,1.0,0.7,0.8080808080808081,0.8383838383838385
3,0,47,0.005,1.0,1.0,0.7727272727272727,0.8,0.8166666666666665
3,1,53,0.005,1.0,1.0,0.8571428571428571,0.9181818181818182,0.9363636363636364
3,2,52,0.005,1.0,1.0,0.8571428571428571,0.8818181818181818,0.9272727272727272
3,3,53,0.005,1.0,1.0,0.8571428571428571,0.9272727272727272,0.9363636363636363
3,4,51,0.005,1.0,1.0,0.7619047619047619,0.8272727272727273,0.8636363636363636
3,5,57,0.005,1.0,1.0,0.9523809523809523,0.9818181818181817,1.0
3,6,52,0.005,1.0,1.0,0.8095238095238095,0.8,0.9272727272727272
3,7,53,0.005,1.0,1.0,0.95,0.9797979797979797,0.9797979797979797
3,8,57,0.005,1.0,1.0,0.8,0.9292929292929293,1.0
3,9,54,0.005,1.0,1.0,0.85,0.9696969696969697,0.9696969696969697
4,0,52,0.005,1.0,1.0,0.8636363636363636,0.9833333333333334,0.9916666666666666
4,1,51,0.005,1.0,1.0,0.8095238095238095,0.9,0.9
4,2,55,0.005,1.0,1.0,0.8095238095238095,0.8818181818181818,0.9545454545454545
4,3,54,0.005,1.0,1.0,0.9523809523809523,1.0,1.0
4,4,54,0.005,1.0,1.0,0.8095238095238095,0.9636363636363636,0.9636363636363636
4,5,56,0.005,1.0,1.0,0.9523809523809523,0.9636363636363636,0.9636363636363636
4,6,49,0.005,1.0,1.0,0.8095238095238095,0.8818181818181817,0.8909090909090909
4,7,54,0.005,1.0,1.0,0.95,0.9696969696969697,1.0
4,8,53,0.005,1.0,1.0,0.85,0.8181818181818181,0.9090909090909091
4,9,49,0.005,1.0,1.0,0.75,0.8686868686868687,0.9090909090909091
