Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,140,0.005,1.0,1.0,0.75,0.7878787878787878,0.9015151515151516
0,1,140,0.005,1.0,1.0,0.7857142857142857,0.8787878787878788,0.9772727272727273
0,2,159,0.005,1.0,1.0,0.7037037037037037,0.8095238095238095,0.9365079365079365
0,3,136,0.005,1.0,1.0,0.7777777777777778,0.8412698412698413,0.9285714285714286
0,4,158,0.005,1.0,1.0,0.8148148148148148,0.9126984126984127,0.9206349206349207
0,5,147,0.005,1.0,1.0,0.6923076923076923,0.638095238095238,0.7999999999999999
0,6,142,0.005,1.0,1.0,0.8076923076923077,0.9238095238095239,0.9523809523809524
0,7,182,0.005,1.0,1.0,0.6923076923076923,0.7333333333333333,0.8952380952380952
0,8,160,0.005,1.0,1.0,0.8076923076923077,0.8666666666666666,0.9047619047619048
0,9,125,0.005,1.0,1.0,0.8846153846153846,0.8952380952380952,0.9333333333333333
1,0,160,0.005,1.0,1.0,0.7142857142857143,0.6666666666666666,0.8181818181818181
1,1,133,0.005,1.0,1.0,0.8214285714285714,0.8712121212121211,0.9015151515151515
1,2,146,0.005,1.0,1.0,0.7407407407407407,0.8650793650793651,0.9761904761904763
1,3,57,0.005,0.9416666666666667,0.9793781386900311,0.9629629629629629,0.9682539682539683,0.9920634920634921
1,4,126,0.005,1.0,1.0,0.8888888888888888,0.8333333333333334,0.8730158730158731
1,5,133,0.005,1.0,1.0,0.7692307692307693,0.7333333333333334,0.9047619047619048
1,6,170,0.005,1.0,1.0,0.8846153846153846,0.9238095238095237,0.9238095238095237
1,7,139,0.005,1.0,1.0,0.7692307692307693,0.8857142857142857,0.9333333333333333
1,8,145,0.005,1.0,1.0,0.7307692307692307,0.5999999999999999,0.838095238095238
1,9,135,0.005,1.0,1.0,0.7307692307692307,0.7809523809523811,0.9333333333333333
2,0,153,0.005,1.0,1.0,0.7142857142857143,0.7348484848484849,0.9090909090909092
2,1,135,0.005,1.0,1.0,0.8214285714285714,0.7878787878787878,0.9242424242424242
2,2,137,0.005,1.0,1.0,0.8148148148148148,0.8650793650793651,0.9285714285714286
2,3,143,0.005,1.0,1.0,0.8148148148148148,0.7698412698412699,0.8809523809523808
2,4,129,0.005,1.0,0.9999999999999999,0.7777777777777778,0.8333333333333334,0.9126984126984128
2,5,141,0.005,1.0,1.0,0.8846153846153846,1.0,1.0
2,6,145,0.005,1.0,1.0,0.8461538461538461,0.8,0.9333333333333333
2,7,31,0.005,0.91701244813278,0.9545549738219895,0.8076923076923077,0.9238095238095239,0.9523809523809524
2,8,167,0.005,1.0,1.0,0.8076923076923077,0.9238095238095237,0.9523809523809524
2,9,150,0.005,1.0,1.0,0.6923076923076923,0.5523809523809524,0.657142857142857
3,0,56,0.005,0.9623430962343096,0.9831364124597207,0.7857142857142857,0.7803030303030303,0.8636363636363636
3,1,129,0.005,1.0,1.0,0.8571428571428571,0.8636363636363638,0.9090909090909091
3,2,24,0.005,0.8833333333333333,0.9479645261245859,0.7407407407407407,0.7777777777777778,0.9126984126984127
3,3,162,0.005,1.0,0.9999999999999999,0.8148148148148148,0.9126984126984127,0.9523809523809524
3,4,129,0.005,1.0,1.0,0.8148148148148148,0.873015873015873,0.9523809523809524
3,5,134,0.005,1.0,1.0,0.7692307692307693,0.8476190476190477,0.9333333333333333
3,6,51,0.005,0.9336099585062241,0.9788481675392671,0.8461538461538461,0.8571428571428571,0.8857142857142857
3,7,23,0.005,0.9004149377593361,0.9507853403141362,0.7307692307692307,0.6952380952380952,0.7428571428571429
3,8,139,0.005,1.0,1.0,0.6923076923076923,0.6952380952380952,0.8571428571428572
3,9,163,0.005,1.0,1.0,0.7692307692307693,0.8476190476190475,0.9714285714285715
4,0,135,0.005,1.0,1.0,0.7857142857142857,0.8106060606060607,0.8787878787878788
4,1,137,0.005,1.0,1.0,0.8214285714285714,0.6818181818181819,0.7424242424242424
4,2,151,0.005,1.0,1.0,0.7777777777777778,0.865079365079365,0.9285714285714286
4,3,156,0.005,1.0,1.0,0.8888888888888888,0.9126984126984127,0.9523809523809524
4,4,129,0.005,1.0,1.0,0.8148148148148148,0.7857142857142857,0.9206349206349206
4,5,59,0.005,0.950207468879668,0.9861780104712042,0.7692307692307693,0.819047619047619,0.8761904761904762
4,6,169,0.005,1.0,1.0,0.8461538461538461,0.838095238095238,0.9619047619047618
4,7,166,0.005,1.0,1.0,0.7307692307692307,0.8380952380952381,0.8952380952380953
4,8,149,0.005,1.0,1.0,0.7692307692307693,0.8761904761904762,0.9714285714285714
4,9,138,0.005,1.0,1.0,0.8076923076923077,0.838095238095238,0.8857142857142857
