Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,35,0.005,0.7372262773722628,0.8380431793179318,0.71875,0.6545893719806763,0.71256038647343
0,1,32,0.005,0.7781818181818182,0.8309711108097111,0.6451612903225806,0.7010869565217391,0.7391304347826086
0,2,28,0.005,0.7672727272727272,0.8224603282246034,0.5483870967741935,0.641304347826087,0.7010869565217391
0,3,19,0.005,0.7672727272727272,0.7980469279804693,0.7096774193548387,0.8423913043478262,0.8423913043478262
0,4,16,0.005,0.7927272727272727,0.7961142004611421,0.7096774193548387,0.4076086956521739,0.9293478260869565
0,5,17,0.005,0.7572463768115942,0.7875700114717592,0.7333333333333333,0.7840909090909092,0.8068181818181819
0,6,24,0.005,0.7971014492753623,0.8152371954922735,0.6333333333333333,0.6590909090909092,0.6647727272727273
0,7,14,0.005,0.7717391304347826,0.798974289763142,0.6,0.6193181818181819,0.7386363636363635
0,8,22,0.005,0.7463768115942029,0.8122680342803158,0.6666666666666666,0.6988636363636364,0.7897727272727273
0,9,23,0.005,0.7934782608695652,0.8020109319117349,0.8333333333333334,0.7954545454545454,0.875
1,0,33,0.005,0.7372262773722628,0.8326801430143015,0.71875,0.7198067632850242,0.7294685990338163
1,1,28,0.005,0.7490909090909091,0.8190356706903568,0.5806451612903226,0.6929347826086956,0.8342391304347826
1,2,26,0.005,0.7672727272727272,0.816933405669334,0.7419354838709677,0.7038043478260869,0.7146739130434783
1,3,28,0.005,0.7854545454545454,0.8134748406347485,0.7419354838709677,0.7472826086956522,0.8722826086956522
1,4,20,0.005,0.7345454545454545,0.7889936253899362,0.7419354838709677,0.7554347826086957,0.8315217391304348
1,5,22,0.005,0.75,0.8075781091841555,0.6333333333333333,0.7443181818181819,0.7613636363636365
1,6,30,0.005,0.7898550724637681,0.845569876509886,0.7,0.5227272727272727,0.6704545454545454
1,7,46,0.005,0.8188405797101449,0.8635198056549025,0.6666666666666666,0.6079545454545454,0.7215909090909092
1,8,8,0.005,0.7608695652173914,0.7650988595721708,0.6666666666666666,0.6647727272727273,0.6761363636363638
1,9,19,0.005,0.7355072463768116,0.7932721506174506,0.7333333333333333,0.7897727272727273,0.9034090909090909
2,0,27,0.005,0.7956204379562044,0.8168660616061606,0.6875,0.7294685990338166,0.7681159420289856
2,1,16,0.005,0.7963636363636364,0.798826800488268,0.7096774193548387,0.7173913043478262,0.7608695652173914
2,2,3,0.005,0.7636363636363637,0.7000542520005426,0.7419354838709677,0.6086956521739131,0.657608695652174
2,3,26,0.005,0.7963636363636364,0.8238166282381663,0.6451612903225806,0.5543478260869565,0.6249999999999999
2,4,12,0.005,0.7818181818181819,0.7782449477824495,0.7741935483870968,0.8152173913043479,0.8152173913043479
2,5,20,0.005,0.7753623188405797,0.8030568864295837,0.7,0.7613636363636365,0.7784090909090908
2,6,18,0.005,0.7427536231884058,0.8060260476415413,0.6333333333333333,0.625,0.7244318181818181
2,7,30,0.005,0.7862318840579711,0.8210742965112356,0.7333333333333333,0.7386363636363636,0.8352272727272727
2,8,20,0.005,0.7934782608695652,0.8045077265672447,0.7,0.7556818181818181,0.7613636363636364
2,9,26,0.005,0.7355072463768116,0.8181388757675957,0.7,0.7017045454545454,0.8096590909090908
3,0,16,0.005,0.7518248175182481,0.8015332783278327,0.65625,0.7246376811594203,0.7342995169082125
3,1,20,0.005,0.7745454545454545,0.799708395497084,0.7096774193548387,0.7717391304347825,0.8641304347826086
3,2,16,0.005,0.7890909090909091,0.799267597992676,0.6774193548387096,0.6440217391304347,0.6521739130434783
3,3,37,0.005,0.76,0.840363488403635,0.6451612903225806,0.5434782608695652,0.7228260869565217
3,4,24,0.005,0.7345454545454545,0.8148989556489896,0.7419354838709677,0.6141304347826086,0.673913043478261
3,5,16,0.005,0.7391304347826086,0.7841959646399893,0.7,0.8522727272727273,0.8579545454545454
3,6,28,0.005,0.8007246376811594,0.8321749105877589,0.5,0.5738636363636364,0.6534090909090909
3,7,19,0.005,0.8007246376811594,0.8059923071732236,0.7333333333333333,0.6590909090909092,0.6818181818181819
3,8,11,0.005,0.7463768115942029,0.7678318375059046,0.8333333333333334,0.8465909090909092,0.8579545454545454
3,9,34,0.005,0.7862318840579711,0.8266077333153385,0.7666666666666667,0.7840909090909091,0.8352272727272727
4,0,34,0.005,0.7372262773722628,0.8276265126512651,0.71875,0.7246376811594203,0.7922705314009661
4,1,25,0.005,0.8036363636363636,0.8272412857724128,0.6774193548387096,0.5434782608695652,0.7554347826086957
4,2,23,0.005,0.8072727272727273,0.8296826257968263,0.6129032258064516,0.48369565217391297,0.5434782608695652
4,3,26,0.005,0.8072727272727273,0.8194425606944256,0.7096774193548387,0.6576086956521738,0.7554347826086958
4,4,14,0.005,0.7345454545454545,0.7800420453004205,0.7419354838709677,0.8369565217391304,0.842391304347826
4,5,16,0.005,0.7717391304347826,0.786490316485593,0.8,0.8693181818181819,0.8693181818181819
4,6,30,0.005,0.7355072463768116,0.8337607125986909,0.7333333333333333,0.7159090909090909,0.7159090909090909
4,7,19,0.005,0.7717391304347826,0.8093663540049936,0.6333333333333333,0.5852272727272727,0.6761363636363636
4,8,11,0.005,0.7427536231884058,0.7701936702881436,0.6333333333333333,0.7102272727272727,0.7159090909090909
4,9,27,0.005,0.8079710144927537,0.8263715500371146,0.6666666666666666,0.5965909090909092,0.6704545454545454
