Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,17,0.005,1.0,1.0,1.0,1.0,1.0
0,1,15,0.005,1.0,0.9999999999999999,0.9166666666666666,0.979020979020979,1.0
0,2,16,0.005,1.0,0.9999999999999999,1.0,1.0,1.0
0,3,16,0.005,1.0,1.0,1.0,1.0,1.0
0,4,18,0.005,1.0,1.0,1.0,1.0,1.0
0,5,16,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
0,6,17,0.005,1.0,1.0,1.0,1.0,1.0
0,7,12,0.005,1.0,1.0,0.7391304347826086,0.9393939393939393,0.9772727272727272
0,8,17,0.005,1.0,1.0,1.0,1.0,1.0
0,9,12,0.005,1.0,1.0,0.9090909090909091,0.9916666666666667,0.9916666666666667
1,0,17,0.005,1.0,1.0,1.0,1.0,1.0
1,1,16,0.005,1.0,1.0,1.0,1.0,1.0
1,2,15,0.005,1.0,1.0,0.9166666666666666,1.0,1.0
1,3,15,0.005,1.0,1.0,0.9166666666666666,0.958041958041958,0.993006993006993
1,4,16,0.005,1.0,1.0,0.9565217391304348,0.9772727272727273,1.0
1,5,13,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
1,6,13,0.005,1.0,1.0,0.8695652173913043,0.9772727272727273,1.0
1,7,16,0.005,1.0,1.0,1.0,1.0,1.0
1,8,15,0.005,1.0,1.0,0.9545454545454546,1.0,1.0
1,9,14,0.005,1.0,1.0,0.9545454545454546,1.0,1.0
2,0,16,0.005,1.0,1.0,0.9166666666666666,0.9860139860139859,1.0
2,1,15,0.005,1.0,1.0,0.9583333333333334,0.993006993006993,1.0
2,2,16,0.005,1.0,1.0,1.0,1.0,1.0
2,3,15,0.005,1.0,1.0,0.9583333333333334,1.0,1.0
2,4,14,0.005,1.0,1.0,0.9130434782608695,1.0,1.0
2,5,19,0.005,1.0,0.9999999999999999,1.0,1.0,1.0
2,6,19,0.005,1.0,1.0,1.0,1.0,1.0
2,7,9,0.005,1.0,1.0,0.8695652173913043,0.9318181818181818,0.9772727272727273
2,8,19,0.005,1.0,1.0,1.0,1.0,1.0
2,9,16,0.005,1.0,1.0,1.0,1.0,1.0
3,0,17,0.005,1.0,1.0,0.9583333333333334,1.0,1.0
3,1,16,0.005,1.0,1.0,0.9583333333333334,1.0,1.0
3,2,16,0.005,1.0,0.9999999999999999,0.875,0.979020979020979,1.0
3,3,16,0.005,1.0,1.0,0.9583333333333334,0.9860139860139859,1.0
3,4,11,0.005,1.0,1.0,0.8260869565217391,0.8939393939393939,1.0
3,5,12,0.005,1.0,1.0,0.9130434782608695,0.9696969696969697,1.0
3,6,19,0.005,1.0,1.0,1.0,1.0,1.0
3,7,17,0.005,1.0,1.0,1.0,1.0,1.0
3,8,15,0.005,1.0,1.0,0.9545454545454546,1.0,1.0
3,9,16,0.005,1.0,1.0,0.9545454545454546,1.0,1.0
4,0,17,0.005,1.0,1.0,1.0,1.0,1.0
4,1,14,0.005,1.0,0.9999999999999999,0.9166666666666666,0.9860139860139859,0.993006993006993
4,2,15,0.005,1.0,1.0,0.875,0.9440559440559441,1.0
4,3,16,0.005,1.0,1.0,0.9166666666666666,0.9720279720279721,1.0
4,4,18,0.005,1.0,0.9999999999999999,0.9565217391304348,0.9772727272727273,1.0
4,5,18,0.005,1.0,1.0,1.0,1.0,1.0
4,6,14,0.005,1.0,1.0,0.9565217391304348,0.9848484848484849,1.0
4,7,14,0.005,1.0,1.0,0.9130434782608695,0.9924242424242424,1.0
4,8,18,0.005,1.0,1.0,1.0,1.0,1.0
4,9,18,0.005,1.0,1.0,1.0,1.0,1.0
