Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,56,0.001,1e-05,0.005,0.995114006514658,0.9997085737599813,0.9420289855072463,0.9796296296296296,0.9990740740740741
0,1,135,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,0.9944444444444445,0.9953703703703705
0,2,7,0.001,1e-05,0.005,0.9788273615635179,0.9966893979133882,0.9710144927536232,0.9981481481481482,0.9990740740740741
0,3,61,0.001,1e-05,0.005,0.993485342019544,0.9997085737599813,0.9710144927536232,0.9990740740740741,0.9990740740740741
0,4,22,0.001,1e-05,0.005,0.9804878048780488,0.9973837209302326,0.9852941176470589,0.9990530303030304,1.0
0,5,13,0.001,1e-05,0.005,0.9788617886178862,0.9975813953488373,0.9705882352941176,0.9905303030303031,0.9905303030303032
0,6,20,0.001,1e-05,0.005,0.983739837398374,0.9978372093023256,0.9558823529411765,0.9962121212121212,0.9971590909090909
0,7,10,0.001,1e-05,0.005,0.9804878048780488,0.9970232558139535,0.9705882352941176,0.9962121212121212,0.9971590909090909
0,8,126,0.001,1e-05,0.005,1.0,1.0,0.9117647058823529,0.9744318181818181,0.993371212121212
0,9,23,0.001,1e-05,0.005,0.9837662337662337,0.9984953703703704,0.9850746268656716,0.9990118577075099,0.9990118577075099
1,0,14,0.001,1e-05,0.005,0.9804560260586319,0.9974004779390336,0.9565217391304348,0.9953703703703703,0.9953703703703703
1,1,23,0.001,1e-05,0.005,0.9853420195439739,0.9983330419070933,0.9710144927536232,0.9944444444444445,0.9953703703703705
1,2,73,0.001,1e-05,0.005,0.995114006514658,0.9998484583551903,0.9565217391304348,0.9944444444444445,0.9962962962962963
1,3,40,0.001,1e-05,0.005,0.990228013029316,0.9987760097919216,0.9565217391304348,0.9944444444444445,0.9990740740740741
1,4,87,0.001,1e-05,0.005,0.9951219512195122,0.9997906976744186,0.9264705882352942,0.9895833333333334,0.9962121212121212
1,5,8,0.001,1e-05,0.005,0.975609756097561,0.9967325581395349,1.0,1.0,1.0
1,6,20,0.001,1e-05,0.005,0.9821138211382113,0.9976744186046512,0.9705882352941176,0.9981060606060607,1.0
1,7,17,0.001,1e-05,0.005,0.9804878048780488,0.9978720930232559,0.9411764705882353,0.9914772727272727,0.9914772727272727
1,8,39,0.001,1e-05,0.005,0.983739837398374,0.9983837209302325,0.9558823529411765,1.0,1.0
1,9,20,0.001,1e-05,0.005,0.9805194805194806,0.9979629629629629,0.9701492537313433,0.9950592885375493,0.9980237154150198
2,0,41,0.001,1e-05,0.005,0.9837133550488599,0.9984146412542986,0.9855072463768116,0.9990740740740741,1.0
2,1,38,0.001,1e-05,0.005,0.990228013029316,0.9992889199743544,0.9855072463768116,0.9990740740740741,1.0
2,2,11,0.001,1e-05,0.005,0.9788273615635179,0.9974471061374366,0.9565217391304348,0.9935185185185186,0.9944444444444445
2,3,32,0.001,1e-05,0.005,0.9853420195439739,0.9984146412542986,0.9420289855072463,1.0,1.0
2,4,16,0.001,1e-05,0.005,0.9853658536585366,0.9977093023255814,0.9264705882352942,0.9971590909090909,0.9971590909090909
2,5,49,0.001,1e-05,0.005,0.9853658536585366,0.9988372093023257,0.9705882352941176,0.9981060606060606,1.0
2,6,15,0.001,1e-05,0.005,0.9821138211382113,0.9977441860465116,0.9852941176470589,0.9895833333333335,0.9952651515151515
2,7,9,0.001,1e-05,0.005,0.9804878048780488,0.9966395348837209,0.9705882352941176,0.9990530303030304,0.9990530303030304
2,8,60,0.001,1e-05,0.005,0.9934959349593496,0.9995813953488373,0.9411764705882353,0.9801136363636364,0.9886363636363636
2,9,24,0.001,1e-05,0.005,0.9805194805194806,0.9978125,0.9850746268656716,1.0,1.0
3,0,18,0.001,1e-05,0.005,0.9820846905537459,0.9972489362942238,1.0,1.0,1.0
3,1,58,0.001,1e-05,0.005,0.99185667752443,0.9995337180159701,0.927536231884058,0.9833333333333334,0.9888888888888889
3,2,12,0.001,1e-05,0.005,0.9788273615635179,0.9965378562685784,1.0,1.0,1.0
3,3,15,0.001,1e-05,0.005,0.9853420195439739,0.9977385323774552,0.9565217391304348,0.9953703703703703,0.9972222222222222
3,4,111,0.001,1e-05,0.005,1.0,1.0,0.9264705882352942,0.9867424242424242,0.9962121212121212
3,5,7,0.001,1e-05,0.005,0.9804878048780488,0.9973837209302325,0.9264705882352942,0.9886363636363636,0.9895833333333334
3,6,16,0.001,1e-05,0.005,0.9788617886178862,0.9970697674418605,0.9705882352941176,1.0,1.0
3,7,34,0.001,1e-05,0.005,0.983739837398374,0.9979883720930233,1.0,1.0,1.0
3,8,42,0.001,1e-05,0.005,0.983739837398374,0.998546511627907,0.9852941176470589,0.9952651515151515,0.9981060606060607
3,9,17,0.001,1e-05,0.005,0.9821428571428571,0.9973495370370371,0.9253731343283582,0.9940711462450593,1.0
4,0,8,0.001,1e-05,0.005,0.9837133550488599,0.9972722503934254,0.9565217391304348,0.9962962962962963,0.9962962962962963
4,1,16,0.001,1e-05,0.005,0.9804560260586319,0.9976919041790522,0.9420289855072463,0.9962962962962962,0.9981481481481481
4,2,132,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,0.9898148148148148,1.0
4,3,8,0.001,1e-05,0.005,0.9771986970684039,0.9963979716733693,0.9855072463768116,1.0,1.0
4,4,43,0.001,1e-05,0.005,0.991869918699187,0.9989534883720931,0.9558823529411765,0.9933712121212122,0.9962121212121212
4,5,8,0.001,1e-05,0.005,0.975609756097561,0.9967906976744185,0.9705882352941176,0.9981060606060606,0.9981060606060606
4,6,9,0.001,1e-05,0.005,0.9788617886178862,0.997093023255814,0.9558823529411765,0.9962121212121211,0.9962121212121212
4,7,20,0.001,1e-05,0.005,0.983739837398374,0.9987674418604652,0.9411764705882353,0.9810606060606061,0.9857954545454545
4,8,25,0.001,1e-05,0.005,0.9821138211382113,0.9978837209302326,0.9558823529411765,0.9943181818181818,0.9981060606060606
4,9,34,0.001,1e-05,0.005,0.9853896103896104,0.9983796296296297,0.9850746268656716,1.0,1.0
