Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,27,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9431438127090301,0.9966555183946488
0,1,27,0.001,1e-05,0.005,1.0,1.0,0.8611111111111112,0.9364548494983278,0.9665551839464883
0,2,28,0.001,1e-05,0.005,1.0,1.0,0.9444444444444444,0.9598662207357859,0.9832775919732442
0,3,27,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9866220735785953,1.0
0,4,29,0.001,1e-05,0.005,1.0,1.0,0.9444444444444444,1.0,1.0
0,5,22,0.001,1e-05,0.005,1.0,1.0,0.8857142857142857,0.9405594405594405,0.9405594405594405
0,6,30,0.001,1e-05,0.005,1.0,1.0,0.9411764705882353,0.9848484848484849,0.9886363636363636
0,7,33,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,8,25,0.001,1e-05,0.005,1.0,0.9999999999999999,0.9117647058823529,0.8977272727272727,0.9545454545454545
0,9,29,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,0,27,0.001,1e-05,0.005,1.0,1.0,0.8888888888888888,0.9297658862876254,0.9565217391304348
1,1,33,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.979933110367893,0.9933110367892977
1,2,28,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9197324414715718,0.959866220735786
1,3,28,0.001,1e-05,0.005,1.0,0.9999999999999999,0.9444444444444444,0.9933110367892977,1.0
1,4,29,0.001,1e-05,0.005,1.0,1.0,0.8888888888888888,0.9565217391304348,0.9698996655518394
1,5,29,0.001,1e-05,0.005,1.0,1.0,0.9714285714285714,0.986013986013986,1.0
1,6,24,0.001,1e-05,0.005,1.0,1.0,0.8823529411764706,0.9431818181818181,1.0
1,7,31,0.001,1e-05,0.005,1.0,1.0,0.9117647058823529,0.9772727272727273,0.9848484848484849
1,8,29,0.001,1e-05,0.005,1.0,1.0,0.9705882352941176,0.9962121212121212,1.0
1,9,28,0.001,1e-05,0.005,1.0,1.0,0.9117647058823529,0.9924242424242424,0.9924242424242424
2,0,29,0.001,1e-05,0.005,1.0,1.0,0.9722222222222222,0.9832775919732442,1.0
2,1,28,0.001,1e-05,0.005,1.0,1.0,0.8888888888888888,0.9096989966555183,0.9732441471571907
2,2,27,0.001,1e-05,0.005,1.0,0.9999999999999999,0.8333333333333334,0.8963210702341138,0.9397993311036789
2,3,25,0.001,1e-05,0.005,1.0,1.0,0.9444444444444444,0.9765886287625418,0.9832775919732442
2,4,27,0.001,1e-05,0.005,1.0,1.0,0.8888888888888888,0.9498327759197325,0.9899665551839465
2,5,29,0.001,1e-05,0.005,1.0,1.0,0.9142857142857143,0.9685314685314685,0.9685314685314685
2,6,28,0.001,1e-05,0.005,1.0,1.0,0.9117647058823529,0.9924242424242424,0.9962121212121212
2,7,31,0.001,1e-05,0.005,1.0,1.0,0.9411764705882353,0.9962121212121212,1.0
2,8,30,0.001,1e-05,0.005,1.0,1.0,0.9705882352941176,1.0,1.0
2,9,27,0.001,1e-05,0.005,1.0,1.0,0.9117647058823529,0.9696969696969697,0.9924242424242424
3,0,30,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,1,29,0.001,1e-05,0.005,1.0,1.0,0.8611111111111112,0.9264214046822743,0.9899665551839465
3,2,31,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9765886287625417,0.9866220735785953
3,3,24,0.001,1e-05,0.005,1.0,1.0,0.8888888888888888,0.8862876254180602,0.9297658862876255
3,4,28,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.979933110367893,0.9933110367892977
3,5,29,0.001,1e-05,0.005,1.0,1.0,0.9428571428571428,0.9720279720279721,0.9895104895104896
3,6,32,0.001,1e-05,0.005,1.0,1.0,0.8823529411764706,0.9166666666666667,0.9924242424242424
3,7,29,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,8,28,0.001,1e-05,0.005,1.0,1.0,0.9117647058823529,0.9659090909090909,0.9696969696969697
3,9,22,0.001,1e-05,0.005,1.0,1.0,0.8529411764705882,0.9090909090909092,0.9242424242424243
4,0,28,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9899665551839465,0.9899665551839465
4,1,31,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,2,24,0.001,1e-05,0.005,1.0,1.0,0.8333333333333334,0.963210702341137,0.963210702341137
4,3,24,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9297658862876255,0.9765886287625417
4,4,28,0.001,1e-05,0.005,1.0,1.0,0.9444444444444444,1.0,1.0
4,5,31,0.001,1e-05,0.005,1.0,1.0,0.9142857142857143,0.9720279720279721,1.0
4,6,31,0.001,1e-05,0.005,1.0,1.0,0.9705882352941176,1.0,1.0
4,7,31,0.001,1e-05,0.005,1.0,1.0,0.8823529411764706,0.962121212121212,0.965909090909091
4,8,27,0.001,1e-05,0.005,1.0,1.0,0.9411764705882353,0.9356060606060606,0.981060606060606
4,9,29,0.001,1e-05,0.005,1.0,1.0,0.8823529411764706,0.9734848484848486,0.9924242424242424
