Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,1,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,2,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,3,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,4,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,5,44,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,6,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,7,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,8,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,9,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,0,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,1,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,2,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,3,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,4,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,5,45,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,6,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,7,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,8,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,9,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,0,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,1,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,2,38,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,3,44,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,4,44,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,5,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,6,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,7,8,0.001,1e-05,0.005,0.7487179487179487,0.8188297172912558,0.7619047619047619,0.746031746031746,0.7687074829931974
2,8,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,9,44,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,0,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,1,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,2,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,3,45,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,4,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,5,42,0.001,1e-05,0.005,1.0,0.9999999999999999,1.0,1.0,1.0
3,6,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,7,40,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,8,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,9,44,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,0,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,1,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,2,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,3,42,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,4,43,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,5,43,0.001,1e-05,0.005,1.0,0.9999999999999999,1.0,1.0,1.0
4,6,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,7,45,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,8,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,9,41,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
