Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,10,0.001,1e-05,0.005,0.8744769874476988,0.9061224489795918,0.7142857142857143,0.8106060606060606,0.8409090909090909
0,1,53,0.001,1e-05,0.005,1.0,1.0,0.8928571428571429,0.9090909090909092,0.9772727272727273
0,2,7,0.001,1e-05,0.005,0.8166666666666667,0.8893044128646224,0.7407407407407407,0.9047619047619049,0.9047619047619049
0,3,40,0.001,1e-05,0.005,0.9541666666666667,0.9864301741639064,0.7407407407407407,0.8571428571428572,0.9206349206349206
0,4,32,0.001,1e-05,0.005,0.95,0.9823699113153115,0.8148148148148148,0.8571428571428572,0.9285714285714286
0,5,14,0.001,1e-05,0.005,0.9045643153526971,0.95717277486911,0.6538461538461539,0.6476190476190476,0.7999999999999999
0,6,62,0.001,1e-05,0.005,1.0,1.0,0.8846153846153846,0.8952380952380953,0.9523809523809524
0,7,13,0.001,1e-05,0.005,0.8879668049792531,0.9210471204188482,0.8846153846153846,0.8857142857142857,0.8952380952380952
0,8,27,0.001,1e-05,0.005,0.8962655601659751,0.9613612565445027,0.8461538461538461,0.8857142857142858,0.8857142857142858
0,9,6,0.001,1e-05,0.005,0.7925311203319502,0.8810471204188481,0.8076923076923077,0.7714285714285714,0.7714285714285714
1,0,20,0.001,1e-05,0.005,0.9163179916317992,0.9631578947368421,0.6785714285714286,0.5833333333333333,0.8181818181818181
1,1,5,0.001,1e-05,0.005,0.8619246861924686,0.8930182599355532,0.7857142857142857,0.8863636363636364,0.8939393939393939
1,2,5,0.001,1e-05,0.005,0.7958333333333333,0.872208569291591,0.7777777777777778,0.8968253968253969,0.9365079365079365
1,3,19,0.001,1e-05,0.005,0.8958333333333334,0.9518110909285179,0.8888888888888888,0.9444444444444443,0.9682539682539683
1,4,11,0.001,1e-05,0.005,0.8541666666666666,0.9021262955443957,0.7037037037037037,0.8333333333333333,0.8412698412698413
1,5,12,0.001,1e-05,0.005,0.8423236514522822,0.9203141361256544,0.7692307692307693,0.857142857142857,0.9523809523809524
1,6,13,0.001,1e-05,0.005,0.8215767634854771,0.8976963350785341,0.7692307692307693,0.8857142857142858,0.9523809523809524
1,7,9,0.001,1e-05,0.005,0.8340248962655602,0.9129842931937172,0.7307692307692307,0.8571428571428572,0.8571428571428572
1,8,42,0.001,1e-05,0.005,0.979253112033195,0.9948691099476439,0.7692307692307693,0.7333333333333334,0.838095238095238
1,9,39,0.001,1e-05,0.005,0.9543568464730291,0.9835602094240838,0.7307692307692307,0.7904761904761906,0.9333333333333333
2,0,13,0.001,1e-05,0.005,0.7949790794979079,0.8991407089151451,0.7857142857142857,0.8939393939393939,0.9015151515151516
2,1,58,0.001,1e-05,0.005,1.0,1.0,0.7857142857142857,0.6893939393939394,0.9242424242424242
2,2,27,0.001,1e-05,0.005,0.8791666666666667,0.9394166043380704,0.8148148148148148,0.9206349206349207,0.9285714285714286
2,3,50,0.001,1e-05,0.005,1.0,1.0000000000000002,0.7037037037037037,0.7619047619047619,0.8253968253968255
2,4,12,0.001,1e-05,0.005,0.7958333333333333,0.8883427716636392,0.7777777777777778,0.8015873015873015,0.9047619047619049
2,5,11,0.001,1e-05,0.005,0.7966804979253111,0.8945549738219896,0.9230769230769231,0.9904761904761905,0.9904761904761905
2,6,52,0.001,1e-05,0.005,1.0,1.0,0.8076923076923077,0.8666666666666667,0.9523809523809523
2,7,11,0.001,1e-05,0.005,0.8008298755186722,0.894869109947644,0.6538461538461539,0.8952380952380953,0.9047619047619048
2,8,25,0.001,1e-05,0.005,0.9087136929460581,0.9513089005235601,0.8076923076923077,0.8571428571428572,0.9714285714285714
2,9,45,0.001,1e-05,0.005,1.0,1.0,0.6153846153846154,0.638095238095238,0.7142857142857142
3,0,7,0.001,1e-05,0.005,0.8577405857740585,0.8857142857142858,0.8571428571428571,0.8257575757575758,0.8636363636363636
3,1,25,0.001,1e-05,0.005,0.9288702928870293,0.9642320085929109,0.75,0.8181818181818181,0.9166666666666667
3,2,21,0.001,1e-05,0.005,0.8958333333333334,0.9437974142536596,0.7407407407407407,0.8253968253968254,0.9126984126984127
