Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,11,0.001,1e-05,0.005,0.781021897810219,0.7698363586358636,0.71875,0.6884057971014493,0.751207729468599
0,1,10,0.001,1e-05,0.005,0.7345454545454545,0.768988200189882,0.7419354838709677,0.6630434782608695,0.7554347826086956
0,2,14,0.001,1e-05,0.005,0.7345454545454545,0.7800759528007595,0.7419354838709677,0.6739130434782609,0.7282608695652174
0,3,5,0.001,1e-05,0.005,0.7745454545454545,0.7161942221619422,0.7096774193548387,0.7065217391304348,0.7554347826086956
0,4,10,0.001,1e-05,0.005,0.7927272727272727,0.7570527600705276,0.6451612903225806,0.6467391304347826,0.9293478260869565
0,5,14,0.001,1e-05,0.005,0.7644927536231884,0.7696200823267426,0.7666666666666667,0.7556818181818181,0.7784090909090909
0,6,21,0.001,1e-05,0.005,0.7862318840579711,0.8024158175315473,0.7,0.6704545454545454,0.6875
0,7,13,0.001,1e-05,0.005,0.7789855072463768,0.7916863486065187,0.6666666666666666,0.6363636363636362,0.6477272727272727
0,8,17,0.001,1e-05,0.005,0.7355072463768116,0.791551386733248,0.7333333333333333,0.7215909090909092,0.7556818181818181
0,9,9,0.001,1e-05,0.005,0.7355072463768116,0.7638842027127337,0.7333333333333333,0.8181818181818181,0.8238636363636364
1,0,8,0.001,1e-05,0.005,0.7627737226277372,0.7611729922992299,0.6875,0.6956521739130435,0.714975845410628
1,1,19,0.001,1e-05,0.005,0.7345454545454545,0.7948257154482572,0.7419354838709677,0.7364130434782609,0.7690217391304348
1,2,10,0.001,1e-05,0.005,0.7345454545454545,0.7678353451783534,0.7419354838709677,0.6385869565217391,0.6494565217391305
1,3,23,0.001,1e-05,0.005,0.7781818181818182,0.7989624304896242,0.7741935483870968,0.7961956521739131,0.8668478260869565
1,4,9,0.001,1e-05,0.005,0.7345454545454545,0.7472873999728741,0.7419354838709677,0.7880434782608695,0.8369565217391304
1,5,12,0.001,1e-05,0.005,0.7572463768115942,0.7774816114447668,0.7,0.7215909090909091,0.7443181818181819
1,6,7,0.001,1e-05,0.005,0.7572463768115942,0.7367231257169848,0.7,0.5909090909090908,0.625
1,7,9,0.001,1e-05,0.005,0.7644927536231884,0.7669545853296444,0.6333333333333333,0.6647727272727272,0.7386363636363636
1,8,9,0.001,1e-05,0.005,0.7644927536231884,0.7740063432080438,0.5666666666666667,0.6818181818181819,0.6818181818181819
1,9,20,0.001,1e-05,0.005,0.7355072463768116,0.7905729131520345,0.7333333333333333,0.8125,0.9431818181818182
2,0,6,0.001,1e-05,0.005,0.7372262773722628,0.7384832233223322,0.71875,0.6714975845410628,0.6714975845410628
2,1,12,0.001,1e-05,0.005,0.7345454545454545,0.7845178353451784,0.7419354838709677,0.6902173913043478,0.7282608695652174
2,2,9,0.001,1e-05,0.005,0.7345454545454545,0.7717347077173471,0.7419354838709677,0.7119565217391305,0.7119565217391305
2,3,19,0.001,1e-05,0.005,0.7345454545454545,0.7970297029702972,0.7419354838709677,0.625,0.6739130434782609
2,4,14,0.001,1e-05,0.005,0.7636363636363637,0.7803472128034722,0.7096774193548387,0.798913043478261,0.8043478260869565
2,5,11,0.001,1e-05,0.005,0.7608695652173914,0.7834199338686821,0.6666666666666666,0.7784090909090909,0.8125
2,6,13,0.001,1e-05,0.005,0.7391304347826086,0.7828126054389635,0.6666666666666666,0.6363636363636364,0.7244318181818181
2,7,5,0.001,1e-05,0.005,0.7572463768115942,0.7102705985559079,0.7666666666666667,0.8068181818181818,0.8068181818181818
2,8,14,0.001,1e-05,0.005,0.75,0.7810243606181254,0.7,0.7727272727272727,0.7727272727272727
2,9,16,0.001,1e-05,0.005,0.7789855072463768,0.785343140562791,0.7666666666666667,0.7073863636363638,0.8153409090909092
3,0,12,0.001,1e-05,0.005,0.7554744525547445,0.7854441694169416,0.6875,0.7004830917874396,0.7101449275362318
3,1,12,0.001,1e-05,0.005,0.7745454545454545,0.7604435101044351,0.8064516129032258,0.8152173913043478,0.8369565217391305
3,2,13,0.001,1e-05,0.005,0.7745454545454545,0.7835345178353452,0.6129032258064516,0.6440217391304348,0.6521739130434783
3,3,7,0.001,1e-05,0.005,0.76,0.7439983724399837,0.8387096774193549,0.7010869565217391,0.7282608695652174
3,4,7,0.001,1e-05,0.005,0.7818181818181819,0.7467448799674488,0.7419354838709677,0.6358695652173914,0.6902173913043479
3,5,8,0.001,1e-05,0.005,0.7391304347826086,0.7503880153856535,0.7333333333333333,0.7897727272727273,0.7897727272727273
3,6,10,0.001,1e-05,0.005,0.7717391304347826,0.7882448208381132,0.5333333333333333,0.5568181818181818,0.6534090909090909
3,7,18,0.001,1e-05,0.005,0.7355072463768116,0.7979620757136109,0.7333333333333333,0.6818181818181819,0.6875
3,8,16,0.001,1e-05,0.005,0.7355072463768116,0.7727579458802889,0.8,0.875,0.8863636363636364
3,9,14,0.001,1e-05,0.005,0.7355072463768116,0.7764693973952358,0.7333333333333333,0.7784090909090908,0.8465909090909092
4,0,10,0.001,1e-05,0.005,0.7372262773722628,0.7715896589658966,0.71875,0.7922705314009661,0.821256038647343
4,1,13,0.001,1e-05,0.005,0.7927272727272727,0.7905533704055336,0.7096774193548387,0.5380434782608695,0.7554347826086957
4,2,19,0.001,1e-05,0.005,0.7345454545454545,0.8148311406483115,0.7419354838709677,0.5054347826086957,0.6630434782608695
4,3,27,0.001,1e-05,0.005,0.7345454545454545,0.8090668655906686,0.7419354838709677,0.7771739130434783,0.782608695652174
4,4,15,0.001,1e-05,0.005,0.7745454545454545,0.7746168452461685,0.8064516129032258,0.8206521739130435,0.8478260869565217
4,5,15,0.001,1e-05,0.005,0.7681159420289855,0.7757608475605642,0.8,0.8806818181818181,0.8920454545454546
4,6,9,0.001,1e-05,0.005,0.7427536231884058,0.7600715297928335,0.6333333333333333,0.6988636363636364,0.7045454545454546
4,7,8,0.001,1e-05,0.005,0.7427536231884058,0.7641541264592753,0.5666666666666667,0.6193181818181819,0.6818181818181818
4,8,10,0.001,1e-05,0.005,0.7391304347826086,0.7668871043930091,0.6666666666666666,0.7329545454545455,0.8238636363636364
4,9,18,0.001,1e-05,0.005,0.7608695652173914,0.7895269586341858,0.6,0.7386363636363635,0.7784090909090909
