Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,21,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,1,18,0.001,1e-05,0.005,1.0,0.9999999999999999,0.9166666666666666,1.0,1.0
0,2,17,0.001,1e-05,0.005,1.0,1.0,0.9583333333333334,1.0,1.0
0,3,18,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,4,19,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,5,20,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
0,6,19,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
0,7,12,0.001,1e-05,0.005,1.0,1.0,0.8695652173913043,0.962121212121212,1.0
0,8,21,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
0,9,13,0.001,1e-05,0.005,1.0,1.0,0.8636363636363636,0.9583333333333333,0.9750000000000001
1,0,19,0.001,1e-05,0.005,1.0,1.0,0.9583333333333334,1.0,1.0
1,1,18,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,2,15,0.001,1e-05,0.005,1.0,1.0,0.875,0.986013986013986,0.993006993006993
1,3,15,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9720279720279721,1.0
1,4,17,0.001,1e-05,0.005,1.0,1.0,0.9130434782608695,0.9924242424242424,1.0
1,5,14,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
1,6,15,0.001,1e-05,0.005,1.0,1.0,0.9130434782608695,0.9621212121212122,0.9924242424242424
1,7,21,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,8,18,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,9,15,0.001,1e-05,0.005,1.0,1.0,0.9090909090909091,1.0,1.0
2,0,15,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.9860139860139859,0.993006993006993
2,1,18,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.986013986013986,0.9930069930069929
2,2,22,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,3,18,0.001,1e-05,0.005,1.0,1.0,0.9583333333333334,1.0,1.0
2,4,17,0.001,1e-05,0.005,1.0,0.9999999999999999,0.9130434782608695,0.9848484848484848,1.0
2,5,21,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,6,19,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,7,12,0.001,1e-05,0.005,1.0,0.9999999999999999,0.8695652173913043,0.9318181818181818,0.9924242424242424
2,8,20,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
2,9,20,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,0,21,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,1,18,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
3,2,20,0.001,1e-05,0.005,1.0,0.9999999999999999,0.9166666666666666,0.993006993006993,1.0
3,3,17,0.001,1e-05,0.005,1.0,1.0,0.875,0.9860139860139859,1.0
3,4,13,0.001,1e-05,0.005,1.0,1.0,0.8260869565217391,0.9393939393939393,0.9696969696969697
3,5,13,0.001,1e-05,0.005,1.0,1.0,0.9130434782608695,0.9696969696969696,0.9924242424242424
3,6,19,0.001,1e-05,0.005,1.0,0.9999999999999999,1.0,1.0,1.0
3,7,16,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
3,8,15,0.001,1e-05,0.005,1.0,1.0,0.9545454545454546,1.0,1.0
3,9,17,0.001,1e-05,0.005,1.0,0.9999999999999999,1.0,1.0,1.0
4,0,21,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,1,17,0.001,1e-05,0.005,1.0,1.0,0.9583333333333334,0.993006993006993,1.0
4,2,14,0.001,1e-05,0.005,1.0,1.0,0.875,0.979020979020979,0.993006993006993
4,3,16,0.001,1e-05,0.005,1.0,1.0,0.9166666666666666,0.979020979020979,1.0
4,4,18,0.001,1e-05,0.005,1.0,1.0,0.9130434782608695,0.9924242424242424,1.0
4,5,18,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,6,13,0.001,1e-05,0.005,1.0,1.0,0.9565217391304348,1.0,1.0
4,7,14,0.001,1e-05,0.005,1.0,1.0,0.9130434782608695,0.9545454545454546,1.0
4,8,19,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,9,20,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
