Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,12,0.001,1e-05,0.005,0.9493670886075949,0.95,0.9,1.0,1.0
0,1,33,0.001,1e-05,0.005,0.9620253164556962,0.9820512820512821,0.9,1.0,1.0
0,2,35,0.001,1e-05,0.005,0.9493670886075949,0.9737179487179487,1.0,1.0,1.0
0,3,42,0.001,1e-05,0.005,0.9620253164556962,0.9903846153846154,0.9,0.9600000000000001,0.9600000000000001
0,4,21,0.001,1e-05,0.005,0.9375,0.97,0.7777777777777778,1.0,1.0
0,5,20,0.001,1e-05,0.005,0.9382716049382716,0.9750000000000001,0.875,0.875,1.0
0,6,55,0.001,1e-05,0.005,0.9753086419753086,0.9963414634146341,0.625,0.75,0.75
0,7,44,0.001,1e-05,0.005,0.9629629629629629,0.9841463414634146,1.0,1.0,1.0
0,8,14,0.001,1e-05,0.005,0.9259259259259259,0.9585365853658536,1.0,1.0,1.0
0,9,22,0.001,1e-05,0.005,0.9506172839506173,0.9780487804878049,0.875,0.8125,0.9375
1,0,10,0.001,1e-05,0.005,0.9240506329113924,0.9474358974358975,1.0,1.0,1.0
1,1,70,0.001,1e-05,0.005,0.9873417721518988,0.9987179487179487,0.7,0.72,0.8400000000000001
1,2,22,0.001,1e-05,0.005,0.9493670886075949,0.9756410256410255,0.9,0.88,0.9600000000000001
1,3,17,0.001,1e-05,0.005,0.9367088607594937,0.9685897435897435,0.9,0.92,0.9600000000000001
1,4,49,0.001,1e-05,0.005,0.9625,0.9837499999999999,0.8888888888888888,1.0,1.0
1,5,34,0.001,1e-05,0.005,0.9506172839506173,0.9817073170731707,1.0,1.0,1.0
1,6,16,0.001,1e-05,0.005,0.9382716049382716,0.9634146341463414,1.0,1.0,1.0
1,7,29,0.001,1e-05,0.005,0.9506172839506173,0.9774390243902439,0.875,0.8125,0.8125
1,8,21,0.001,1e-05,0.005,0.9382716049382716,0.973780487804878,1.0,1.0,1.0
1,9,16,0.001,1e-05,0.005,0.9259259259259259,0.9560975609756097,1.0,1.0,1.0
2,0,16,0.001,1e-05,0.005,0.9367088607594937,0.9532051282051283,1.0,1.0,1.0
2,1,25,0.001,1e-05,0.005,0.9493670886075949,0.9762820512820514,1.0,1.0,1.0
2,2,27,0.001,1e-05,0.005,0.9493670886075949,0.9878205128205129,0.8,0.8,0.8400000000000001
2,3,30,0.001,1e-05,0.005,0.9493670886075949,0.9782051282051283,0.9,1.0,1.0
2,4,21,0.001,1e-05,0.005,0.95,0.96625,0.8888888888888888,0.95,1.0
2,5,35,0.001,1e-05,0.005,0.9506172839506173,0.9829268292682927,1.0,1.0,1.0
2,6,41,0.001,1e-05,0.005,0.9876543209876543,0.9945121951219512,0.75,0.6875,0.75
2,7,28,0.001,1e-05,0.005,0.9506172839506173,0.9798780487804878,0.875,1.0,1.0
2,8,51,0.001,1e-05,0.005,0.9629629629629629,0.9932926829268293,0.875,0.9375,0.9375
2,9,21,0.001,1e-05,0.005,0.9382716049382716,0.9634146341463414,1.0,1.0,1.0
3,0,46,0.001,1e-05,0.005,0.9493670886075949,0.9871794871794872,1.0,1.0,1.0
3,1,45,0.001,1e-05,0.005,0.9620253164556962,0.992948717948718,0.8,0.88,0.9600000000000001
3,2,34,0.001,1e-05,0.005,0.9493670886075949,0.9782051282051282,1.0,1.0,1.0
3,3,51,0.001,1e-05,0.005,0.9620253164556962,0.9942307692307693,0.8,0.88,0.88
3,4,14,0.001,1e-05,0.005,0.9375,0.95375,0.8888888888888888,1.0,1.0
3,5,17,0.001,1e-05,0.005,0.9506172839506173,0.9713414634146341,0.875,0.9375,0.9375
3,6,35,0.001,1e-05,0.005,0.9629629629629629,0.9823170731707316,0.875,0.9375,0.9375
3,7,18,0.001,1e-05,0.005,0.9506172839506173,0.9725609756097561,0.875,0.9375,1.0
3,8,32,0.001,1e-05,0.005,0.9382716049382716,0.9792682926829268,1.0,1.0,1.0
3,9,27,0.001,1e-05,0.005,0.9506172839506173,0.9780487804878049,1.0,1.0,1.0
4,0,36,0.001,1e-05,0.005,0.9620253164556962,0.9923076923076923,0.8,0.8400000000000001,0.8400000000000001
4,1,46,0.001,1e-05,0.005,0.9620253164556962,0.9955128205128205,0.8,0.8,0.92
4,2,32,0.001,1e-05,0.005,0.9493670886075949,0.9769230769230769,1.0,1.0,1.0
4,3,12,0.001,1e-05,0.005,0.9240506329113924,0.9525641025641026,1.0,1.0,1.0
4,4,25,0.001,1e-05,0.005,0.95,0.975625,0.8888888888888888,0.95,1.0
4,5,44,0.001,1e-05,0.005,0.9506172839506173,0.9853658536585366,1.0,1.0,1.0
4,6,26,0.001,1e-05,0.005,0.9382716049382716,0.9780487804878049,0.875,1.0,1.0
4,7,17,0.001,1e-05,0.005,0.9259259259259259,0.9615853658536585,1.0,1.0,1.0
4,8,35,0.001,1e-05,0.005,0.9382716049382716,0.9835365853658535,1.0,1.0,1.0
4,9,22,0.001,1e-05,0.005,0.9629629629629629,0.975609756097561,0.625,0.875,0.875
